call_id,filename,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32
0,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC2.wav,-0.12945707,-0.038053535,-1.2555954,-0.024890251,0.7896567,-3.8083405,0.5884732,-1.240786,-0.9645765,-0.01796774,0.0054207956,-1.7672031,1.6474531,-0.21757644,0.6127884,-1.5047098,1.2647189,-3.4088686,0.3663382,3.1206508,0.71614754,-0.25194612,-2.0864334,2.1868463,0.18435806,0.97034967,-3.4483778,1.8251178,2.0226765,-1.873783,0.34190154,-0.89025825
1,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC3.wav,0.03194126,-0.60783064,-0.6702644,1.9838858,1.0319856,-3.3723316,1.9757038,-1.1016036,-1.6933808,-0.8258791,-0.7218624,-1.1320726,1.8498566,2.0562813,0.6046252,0.64167225,0.019092541,-3.7266781,0.9864541,1.7840271,0.021049812,1.5446942,-0.7612443,2.0129836,1.6346916,0.39205024,-3.211094,0.89769113,1.5699148,-0.060062557,1.5303967,-1.4098207
2,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000007_labelled_mC3.wav,2.7338989,-0.7224935,1.0047001,-2.1111581,1.7415603,-0.99561614,-1.6386855,-1.4700867,-1.8330388,-1.7833004,-1.2282876,0.18317617,0.95849437,2.097032,1.9196467,-0.9348462,-0.76389146,-3.9398994,-1.1569254,0.88515586,-1.8967774,3.1506152,-0.36870444,1.9653416,-0.18094738,1.452176,-1.8284531,3.1366856,1.4422824,-0.23571365,1.4860579,-1.8002641
3,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000010_labelled_mB2.wav,0.77452767,0.06972593,-1.6462125,0.23239137,1.0705886,1.9464532,-0.7993229,-0.23972383,-0.0477478,-0.08015666,0.056668505,-0.8487653,0.30574912,-0.20026156,1.6254749,-0.7326399,-0.37370446,0.60914475,-0.04047802,0.038486216,0.48071906,-0.13402459,1.1302061,-0.4337774,0.26727358,-0.8104266,0.2549588,-1.2070864,-0.5287385,-0.074686386,-1.7057463,0.66864526
4,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE1.wav,-3.4015315,0.5080603,2.2298677,0.6045282,0.9607997,0.3134424,-1.0262825,1.6116204,1.1759858,1.5981886,0.20824927,-0.08269303,2.2327514,-1.0326568,0.033539765,0.12386352,-1.0812365,-1.7055477,0.27584526,-0.70778966,-1.1104051,-2.3938866,-0.52238613,1.9631996,-3.8266153,-1.8665481,-0.029290095,2.8130205,-2.1932328,0.69215524,2.3048046,0.046913736
5,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE2.wav,1.7324972,1.3582245,-0.7228917,2.4306772,-1.812562,0.38013268,0.72705436,0.18608965,-1.6273762,1.3926425,0.59415615,-2.339186,2.1491349,-0.07219562,-2.9040217,-1.0171937,1.0257592,0.7701208,0.44876957,-2.220225,0.33592063,-1.2568027,1.0721352,-1.4654161,-1.1871991,-1.4860414,1.2257034,-0.545908,-3.3077867,-0.2696443,1.8522638,-1.6304553
6,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE5.wav,0.6196071,2.546196,-0.8308313,2.9925437,-1.4126533,-0.84983915,-2.0620172,0.011559786,-1.6861509,-0.45689118,-0.56149596,-0.72476864,3.7017078,-2.2341967,-2.18228,-0.73305506,1.7027198,-0.35564262,2.7874517,-0.44389847,-0.47189304,1.3515681,1.5851042,0.61208665,0.9699338,1.2001643,-3.6495728,-0.62394196,-2.0143695,-0.8754072,1.6346188,-1.2200269
7,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE6.wav,2.0401204,-0.015444239,-1.1719329,-2.3488834,1.6082208,0.12748936,0.8937173,-1.7284122,-1.6623713,1.8890786,-1.4807414,-1.4879233,1.093147,-1.9638561,0.7086049,1.0294985,0.7948783,-2.224267,1.5764259,2.4125984,0.81438303,0.6270721,-1.9036127,1.1815959,0.8340507,-1.6386377,2.5165038,0.38520563,-1.1216143,-0.8906454,-0.9861913,-2.2113657
8,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE7.wav,2.477443,-1.6892083,1.4513083,-0.62316376,-0.9158583,-1.660374,-0.49511197,0.21857755,-1.0968863,1.4755157,-3.2577457,-0.5568366,-0.2926181,1.9669824,0.19485193,2.2077942,-1.6795154,-1.9122446,-0.1673585,-0.9155635,0.6609613,1.7140515,-0.9537032,-0.15874588,2.336564,-0.23538795,-0.19946283,0.45717826,-2.3500016,0.64884317,0.31985518,-0.07016622
9,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD1.wav,-4.0411744,0.24259041,2.0656223,0.3475114,1.4404621,-0.48265177,-2.8707802,0.26179308,-1.0413716,-1.1944569,-0.24513835,-1.3742949,1.6401054,1.2223458,-3.0919275,0.33135056,1.4522479,-1.9937139,2.724977,1.6459374,-0.15347894,-2.9282296,-0.26930124,1.9852593,-3.5058522,0.12933615,1.9203105,1.8615764,1.5422095,-2.4870248,0.014181906,-0.25164494
