call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
0,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.2533302,6.3142977,PaCMAP
1,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.332166,5.448075,PaCMAP
2,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000007_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.0963302,6.346246,PaCMAP
3,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000010_labelled_mB2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-2.1895437,-5.8055596,PaCMAP
4,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,0.37202454,1.2371837,PaCMAP
5,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.709686,3.727032,PaCMAP
6,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,4.947108,4.363989,PaCMAP
7,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE6.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,2.3470178,5.815511,PaCMAP
8,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE7.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-10.330616,-1.5376272,PaCMAP
9,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,1.4486067,3.1820188,PaCMAP
10,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.922408,7.204784,PaCMAP
11,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.485957,5.1415563,PaCMAP
12,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,1.5397297,0.7327695,PaCMAP
13,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.8151913,7.5025225,PaCMAP
14,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.3058286,7.299928,PaCMAP
15,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.7346406,6.7434034,PaCMAP
16,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,2.9452186,5.0970364,PaCMAP
17,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,4.354841,7.1070843,PaCMAP
18,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.0782766,7.5328655,PaCMAP
19,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD6.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.2222476,7.701827,PaCMAP
20,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.4802864,7.009738,PaCMAP
21,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.4295206,6.950721,PaCMAP
22,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.9215782,7.0771394,PaCMAP
23,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.3348384,6.5567107,PaCMAP
24,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.3801312,7.8675985,PaCMAP
25,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.4676757,7.7295194,PaCMAP
26,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000027_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.4726694,6.6774225,PaCMAP
27,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000027_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.4471483,7.651343,PaCMAP
28,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000027_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.3879876,7.748035,PaCMAP
29,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000027_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.0669575,7.444169,PaCMAP
30,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000028_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.525809,6.83452,PaCMAP
31,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000028_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.9514356,7.840906,PaCMAP
32,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000028_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.818488,7.623984,PaCMAP
33,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000028_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.6150084,6.9345193,PaCMAP
34,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000031_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.9518585,7.519576,PaCMAP
35,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000031_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,4.0094986,7.1611066,PaCMAP
36,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000063_labelled_mC1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.5616133,0.54059833,PaCMAP
37,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000063_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.0667543,4.043986,PaCMAP
38,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000063_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.3492684,4.673234,PaCMAP
39,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000064_labelled_mB1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,1.3795677,-0.27108794,PaCMAP
40,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000064_labelled_mB2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.690169,4.737387,PaCMAP
41,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000065_labelled_mC1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.403071,6.5473614,PaCMAP
42,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000065_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.11165,7.222727,PaCMAP
43,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000065_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.250783,6.951734,PaCMAP
44,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000066_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.4015965,6.938884,PaCMAP
45,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000066_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.7656527,7.7164297,PaCMAP
46,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000066_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.469521,7.6478467,PaCMAP
47,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000067_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,2.963664,6.2930045,PaCMAP
48,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000067_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.7237585,7.056741,PaCMAP
49,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000067_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.9744716,7.755893,PaCMAP
50,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000068_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.370506,6.770075,PaCMAP
51,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000068_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.375283,6.878854,PaCMAP
52,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000068_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.7449245,7.8071246,PaCMAP
53,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000068_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.875075,7.8388524,PaCMAP
54,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000070_labelled_mC1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.5717971,6.861918,PaCMAP
55,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000070_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.1271977,7.360267,PaCMAP
56,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000070_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.1104894,7.5246887,PaCMAP
57,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000075_labelled_mC1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,2.225564,0.68715566,PaCMAP
58,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000075_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.155799,5.769022,PaCMAP
59,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000075_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.8958926,5.984365,PaCMAP
60,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000076_labelled_mC1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,2.7734637,5.484149,PaCMAP
61,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000076_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.14445,7.4757824,PaCMAP
62,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000078_labelled_mC1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,5.239102,7.0221357,PaCMAP
63,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000078_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.8103256,7.642397,PaCMAP
64,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000078_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.3035164,5.2198234,PaCMAP
65,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000079_labelled_mC1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,4.026492,1.3419582,PaCMAP
66,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000079_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.9601774,6.8441625,PaCMAP
67,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000079_labelled_mC4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.3521013,5.4330144,PaCMAP
68,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000080_labelled_mC1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,6.820698,6.267303,PaCMAP
69,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000080_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.2389116,7.312976,PaCMAP
70,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000080_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.1078353,6.7238064,PaCMAP
71,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000081_labelled_mB1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,3.9377105,1.7997314,PaCMAP
72,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000081_labelled_mB2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,7.3910766,4.3734355,PaCMAP
73,after_phees_2022-07-19_11-17-29_0000018_labelled_Olympia_pheeseq_0000015_labelled_mB1.wav,Olympia,Odin,after,non-partner,Wuschel-Olympia,-9.360128,1.3486143,PaCMAP
74,after_phees_2022-07-19_11-17-29_0000018_labelled_Olympia_pheeseq_0000015_labelled_mB2.wav,Olympia,Odin,after,non-partner,Wuschel-Olympia,-9.585272,-0.41564092,PaCMAP
