call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
0,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,12.564884,-5.011217,PaCMAP
1,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,11.957022,-5.4910393,PaCMAP
2,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000007_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,12.540546,-5.8787413,PaCMAP
3,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000010_labelled_mB2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-5.709707,6.2331767,PaCMAP
4,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-2.0109336,0.6109917,PaCMAP
5,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,9.405022,-4.022022,PaCMAP
6,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,11.809204,-3.597324,PaCMAP
7,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE6.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,12.088255,-5.8033195,PaCMAP
8,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE7.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-9.421023,0.3582327,PaCMAP
9,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,11.217826,-6.2952595,PaCMAP
10,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,13.769931,-3.4821525,PaCMAP
11,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,10.055376,-2.956435,PaCMAP
12,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-0.50596195,-0.17926638,PaCMAP
13,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,13.038058,-3.1502867,PaCMAP
14,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,13.028164,-2.9437208,PaCMAP
15,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,11.807382,-4.4703126,PaCMAP
16,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,11.948152,-4.9287953,PaCMAP
17,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,13.580825,-4.2190185,PaCMAP
18,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,13.458863,-3.6302645,PaCMAP
19,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD6.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,12.527651,-3.450006,PaCMAP
20,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,14.926989,-5.4273705,PaCMAP
21,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,14.94259,-5.3305254,PaCMAP
22,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,13.517598,-4.007547,PaCMAP
23,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,12.607135,-4.35468,PaCMAP
24,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,13.954374,-3.767658,PaCMAP
