call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
0,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.422344,0.019601854,PaCMAP
1,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000005_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.0921867,0.28247887,PaCMAP
2,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000007_labelled_mC3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.5332878,0.24362475,PaCMAP
3,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000010_labelled_mB2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,1.0088657,-0.81274176,PaCMAP
4,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-2.6850882,-3.3970938,PaCMAP
5,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-1.7049472,3.6388261,PaCMAP
6,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-2.5121121,1.7348355,PaCMAP
7,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE6.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,2.3679185,-5.983975,PaCMAP
8,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000011_labelled_mE7.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,1.3129407,-8.62878,PaCMAP
9,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-2.9960911,-2.2078702,PaCMAP
10,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.8357682,3.017365,PaCMAP
11,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000013_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-2.8443844,2.147965,PaCMAP
12,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-2.3831606,-2.0089066,PaCMAP
13,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.955384,2.394904,PaCMAP
14,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.9543843,2.6697042,PaCMAP
15,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.3482134,1.4417806,PaCMAP
16,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.171095,-0.18872236,PaCMAP
17,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-4.008522,1.6086141,PaCMAP
18,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-4.232102,2.1670916,PaCMAP
19,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD6.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-4.1277666,2.8584857,PaCMAP
20,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-4.1870193,1.1437075,PaCMAP
21,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-4.054821,1.3076686,PaCMAP
22,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-4.3369803,1.5001712,PaCMAP
23,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.3302958,0.5185751,PaCMAP
24,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD4.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-4.278574,2.5425205,PaCMAP
25,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD5.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-4.2535796,1.8811578,PaCMAP
26,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000027_labelled_mD1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.536971,0.87711227,PaCMAP
27,after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000027_labelled_mD3.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,-3.9374466,2.3328414,PaCMAP
