comparison_id,pair_id,stage,context,repertoire_a_id,repertoire_b_id,individual_a,individual_b,receiver_a,receiver_b,session_a,session_b
comparison=45247ab854619e4b2e9308ce,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=2,Tabor,Lola,Nougatti,Odin,2,2
comparison=0221d940a1fa3a0d6c467c83,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=3,Tabor,Lola,Nougatti,Odin,2,3
comparison=b9943c80181cccee770a8be2,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=4,Tabor,Lola,Nougatti,Odin,2,4
comparison=b4b59f7355bd7a2fb597108b,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=5,Tabor,Lola,Nougatti,Odin,2,5
comparison=d56fc201f297c7550639a821,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=6,Tabor,Lola,Nougatti,Odin,2,6
comparison=f0bf79c445ed7abe03c64d32,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Nougatti,Wuschel,2,2
comparison=29ecc0e4df3601e4f50e4b03,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Nougatti,Wuschel,2,3
comparison=c7c09097aea6eaad4f87c1ee,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Nougatti,Wuschel,2,4
comparison=0a03b2616329d83bc4b955ec,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Nougatti,Wuschel,2,5
comparison=546db020d44e14fc3ef5c237,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=2,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Nougatti,Wuschel,2,6
