repertoire_id,individual_id,receiver_id,pair_id,stage,context,session_number,n_sequences
focal=Lola|conspecific=Odin|stage=after|session=2,Lola,Odin,A,after,non-partner,2,6
focal=Lola|conspecific=Odin|stage=after|session=3,Lola,Odin,A,after,non-partner,3,30
focal=Lola|conspecific=Odin|stage=after|session=4,Lola,Odin,A,after,non-partner,4,17
focal=Lola|conspecific=Odin|stage=after|session=5,Lola,Odin,A,after,non-partner,5,7
focal=Lola|conspecific=Odin|stage=after|session=6,Lola,Odin,A,after,non-partner,6,20
focal=Lola|conspecific=Wuschel|stage=after|session=2,Lola,Wuschel,A,after,non-partner,2,26
focal=Lola|conspecific=Wuschel|stage=after|session=3,Lola,Wuschel,A,after,non-partner,3,29
focal=Lola|conspecific=Wuschel|stage=after|session=4,Lola,Wuschel,A,after,non-partner,4,12
focal=Lola|conspecific=Wuschel|stage=after|session=5,Lola,Wuschel,A,after,non-partner,5,28
focal=Lola|conspecific=Wuschel|stage=after|session=6,Lola,Wuschel,A,after,non-partner,6,27
focal=Tabor|conspecific=Nougatti|stage=after|session=2,Tabor,Nougatti,A,after,non-partner,2,20
focal=Tabor|conspecific=Nougatti|stage=after|session=3,Tabor,Nougatti,A,after,non-partner,3,8
focal=Tabor|conspecific=Nougatti|stage=after|session=4,Tabor,Nougatti,A,after,non-partner,4,8
focal=Tabor|conspecific=Nougatti|stage=after|session=5,Tabor,Nougatti,A,after,non-partner,5,9
focal=Tabor|conspecific=Nougatti|stage=after|session=6,Tabor,Nougatti,A,after,non-partner,6,7
focal=Tabor|conspecific=Olympia|stage=after|session=2,Tabor,Olympia,A,after,non-partner,2,11
focal=Tabor|conspecific=Olympia|stage=after|session=3,Tabor,Olympia,A,after,non-partner,3,14
focal=Tabor|conspecific=Olympia|stage=after|session=4,Tabor,Olympia,A,after,non-partner,4,21
focal=Tabor|conspecific=Olympia|stage=after|session=5,Tabor,Olympia,A,after,non-partner,5,11
focal=Tabor|conspecific=Olympia|stage=after|session=6,Tabor,Olympia,A,after,non-partner,6,14
focal=Lola|conspecific=Tabor|stage=after|session=3,Lola,Tabor,A,after,partner,3,20
