pair,context,stage,individual_1,conspecific_1,session_number_1,session_1_id,individual_2,conspecific_2,session_number_2,session_2_id,comparison_id,n_calls_1,n_calls_2,n_call_pairs,metric,distance,z_distance,distance_01
Tabor-Lola,Partner,before,Tabor,Lola,1,Tabor__Lola__before__1,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__1,6,10,60,T_PC_pairwise,2.746554418404897,-1.32509632776875,0.09499089323113645
Tabor-Lola,Partner,before,Tabor,Lola,1,Tabor__Lola__before__1,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__1,6,10,60,M_PC_pairwise,11.842082079251607,-0.43739783144194627,0.38809444548373034
Tabor-Lola,Partner,before,Tabor,Lola,1,Tabor__Lola__before__1,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__1,6,10,60,spectro_DTW,0.007803286868147552,-0.5682935671343412,0.338035945700424
Tabor-Lola,Partner,before,Tabor,Lola,1,Tabor__Lola__before__1,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__1,6,10,60,chatter_cosine,0.9581803053617477,-0.18668211100338156,0.5072166235723591
Tabor-Lola,Partner,before,Tabor,Lola,1,Tabor__Lola__before__1,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__1,6,33,198,T_PC_pairwise,4.251036513333369,0.37983627255279556,0.45658345173680015
Tabor-Lola,Partner,before,Tabor,Lola,1,Tabor__Lola__before__1,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__1,6,33,198,M_PC_pairwise,15.382393510654719,0.7032772659864037,0.6417366448206638
Tabor-Lola,Partner,before,Tabor,Lola,1,Tabor__Lola__before__1,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__1,6,33,198,spectro_DTW,0.010263895787618528,0.13822434667040928,0.4854368707709006
Tabor-Lola,Partner,before,Tabor,Lola,1,Tabor__Lola__before__1,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__1,6,33,198,chatter_cosine,1.0447116349682664,1.3184827711774458,0.7422195485086984
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__3,14,10,140,T_PC_pairwise,2.990379513161523,-1.048785061434387,0.15359268060908854
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__3,14,10,140,M_PC_pairwise,11.498792258330754,-0.5480045273534022,0.36349977722488785
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__3,14,10,140,spectro_DTW,0.007446880966225373,-0.6706288680841144,0.31668571843423926
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__3,14,10,140,chatter_cosine,0.9408379861286709,-0.4883422149668131,0.4601181245260002
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__3,14,33,462,T_PC_pairwise,4.66666432557168,0.8508404866103307,0.5564769130946821
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__3,14,33,462,M_PC_pairwise,18.15547908952226,1.5967550642371173,0.8404116876246618
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__3,14,33,462,spectro_DTW,0.013593981756619076,1.0943963628697881,0.6849231639850324
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__3,14,33,462,chatter_cosine,1.0620238261047379,1.6196188134723066,0.7892362252733796
Tabor-Lola,Partner,before,Tabor,Lola,6,Tabor__Lola__before__6,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__6,19,10,190,T_PC_pairwise,2.946193283639456,-1.0988584677257687,0.1429728056119306
