pair,context,stage,individual_1,conspecific_1,session_number_1,session_1_id,individual_2,conspecific_2,session_number_2,session_2_id,comparison_id,group_id_1,group_id_2,n_seq_1,n_seq_2,metric,distance,z_distance,distance_01
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__3,75,7,16,12,transition_matrix,1.863456130027771,1.41450279689073,0.8151680233553261
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__3,75,7,16,12,bigram,0.7954263687133789,2.747200875771283,0.93767522703677
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__3,75,7,16,12,repeat_A_len,0.23566299676895142,-0.8325002273131941,0.16666805775600596
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__3,75,7,16,12,local_alignment,2.158015012741089,3.326899161778584,1
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__3,75,8,16,13,transition_matrix,1.4485435485839844,0.6305265609581924,0.6251833466514097
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__3,75,8,16,13,bigram,0.5608823895454407,1.3692329626931041,0.6426422107103176
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__3,75,8,16,13,repeat_A_len,0.35354357957839966,-0.4155480251968349,0.2500368006361578
Tabor-Lola,Partner,before,Tabor,Lola,3,Tabor__Lola__before__3,Lola,Tabor,6,Lola__Tabor__before__6,Lola__Tabor__before__6||Tabor__Lola__before__3,75,8,16,13,local_alignment,1.7268701791763306,1.8743280458346028,0.7303177409923476
Tabor-Lola,Partner,before,Tabor,Lola,6,Tabor__Lola__before__6,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__6,76,7,7,12,transition_matrix,1.6833654642105103,1.0742219555079315,0.7327061543909579
Tabor-Lola,Partner,before,Tabor,Lola,6,Tabor__Lola__before__6,Lola,Tabor,4,Lola__Tabor__before__4,Lola__Tabor__before__4||Tabor__Lola__before__6,76,7,7,12,bigram,0.6649428606033325,1.9805980066659612,0.7735399415558346
