sequence_id,repertoire_id,recording_id,individual_id,receiver_id,pair_id,stage,context,sequence,n_elements,session_number,recording_datetime,source_file
before_trills_2022-02-17_09-53-37_0000039_labelled_Nougatti_pheeseq_02.txt::sequence=15,focal=Nougatti|conspecific=Tabor|stage=before|session=1,participants=Nougatti%2BTabor|stage=before|session=1,Nougatti,Tabor,C,before,non-partner,AAAP,4,1,2022-02-17T09:53:37,before_trills_2022-02-17_09-53-37_0000039_labelled_Nougatti_pheeseq_02.txt
before_trills_2022-02-17_09-53-37_0000039_labelled_Nougatti_pheeseq_03.txt::sequence=16,focal=Nougatti|conspecific=Tabor|stage=before|session=1,participants=Nougatti%2BTabor|stage=before|session=1,Nougatti,Tabor,C,before,non-partner,APP,3,1,2022-02-17T09:53:37,before_trills_2022-02-17_09-53-37_0000039_labelled_Nougatti_pheeseq_03.txt
before_trills_2022-02-17_09-53-37_0000039_labelled_Nougatti_pheeseq_05.txt::sequence=17,focal=Nougatti|conspecific=Tabor|stage=before|session=1,participants=Nougatti%2BTabor|stage=before|session=1,Nougatti,Tabor,C,before,non-partner,AAPP,4,1,2022-02-17T09:53:37,before_trills_2022-02-17_09-53-37_0000039_labelled_Nougatti_pheeseq_05.txt
before_phees_2022-02-17_09-53-35_0000039_labelled_Tabor_pheeseq_01.txt::sequence=1,focal=Tabor|conspecific=Nougatti|stage=before|session=1,participants=Nougatti%2BTabor|stage=before|session=1,Tabor,Nougatti,A,before,non-partner,AA,2,1,2022-02-17T09:53:35,before_phees_2022-02-17_09-53-35_0000039_labelled_Tabor_pheeseq_01.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_03.txt::sequence=1,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,AAAAKK,6,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_03.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_04.txt::sequence=2,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,AP,2,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_04.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_07.txt::sequence=3,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,AAA,3,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_07.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_08.txt::sequence=4,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,AP,2,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_08.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_09.txt::sequence=5,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,AAAA,4,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_09.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_12.txt::sequence=6,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,APAA,4,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_12.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_13.txt::sequence=7,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,AP,2,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_13.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_14.txt::sequence=8,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,APAAA,5,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_14.txt
before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_16.txt::sequence=9,focal=Odin|conspecific=Olympia|stage=before|session=1,participants=Odin%2BOlympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,APAAAPK,7,1,2022-02-22T09:14:37,before_phees_2022-02-22_09-14-37_0000041_labelled_Odin_pheeseq_16.txt
