group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
0,Lola,Odin,after,non-partner,2.0,Tabor-Lola,female,6,4,0.7631165,-0.629411,PaCMAP
1,Lola,Odin,after,non-partner,3.0,Tabor-Lola,female,30,10,3.68998,0.25435492,PaCMAP
2,Lola,Odin,after,non-partner,4.0,Tabor-Lola,female,17,8,2.3280447,-0.9183757,PaCMAP
3,Lola,Odin,after,non-partner,5.0,Tabor-Lola,female,7,3,3.7168813,0.24837491,PaCMAP
4,Lola,Odin,after,non-partner,6.0,Tabor-Lola,female,20,10,-1.9603045,0.069712706,PaCMAP
5,Lola,Tabor,after,partner,3.0,Tabor-Lola,female,20,3,4.6230507,0.9893936,PaCMAP
6,Lola,Tabor,after,partner,5.0,Tabor-Lola,female,9,2,3.8673465,0.3914514,PaCMAP
7,Lola,Tabor,before,partner,4.0,Tabor-Lola,female,12,3,-0.012942851,2.1772485,PaCMAP
8,Lola,Tabor,before,partner,6.0,Tabor-Lola,female,13,5,-0.21269096,-1.2531416,PaCMAP
9,Lola,Wuschel,after,non-partner,2.0,Tabor-Lola,female,26,11,3.01186,-0.28640807,PaCMAP
10,Lola,Wuschel,after,non-partner,3.0,Tabor-Lola,female,29,11,-1.4636451,0.018489957,PaCMAP
11,Lola,Wuschel,after,non-partner,4.0,Tabor-Lola,female,12,4,3.8237412,0.40219742,PaCMAP
12,Lola,Wuschel,after,non-partner,5.0,Tabor-Lola,female,28,8,2.7659545,-0.5237851,PaCMAP
13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,female,27,9,3.0152864,-0.045406222,PaCMAP
14,Lola,Wuschel,before,non-partner,3.0,Tabor-Lola,female,5,4,-4.879496,0.2587878,PaCMAP
15,Lola,Wuschel,before,non-partner,4.0,Tabor-Lola,female,12,3,1.8149291,-0.39152125,PaCMAP
16,Nougatti,Odin,after,partner,3.0,Odin-Nougatti,female,6,1,4.7265096,1.0869812,PaCMAP
17,Nougatti,Odin,after,partner,6.0,Odin-Nougatti,female,20,8,-4.092444,-0.73932916,PaCMAP
18,Nougatti,Odin,before,partner,1.0,Odin-Nougatti,female,9,7,-4.1786885,0.025919694,PaCMAP
19,Nougatti,Odin,before,partner,2.0,Odin-Nougatti,female,7,5,0.62681943,-0.4311029,PaCMAP
20,Nougatti,Odin,before,partner,3.0,Odin-Nougatti,female,12,8,-2.6839838,-0.073037244,PaCMAP
21,Nougatti,Odin,before,partner,4.0,Odin-Nougatti,female,16,7,-4.369384,-0.0030304177,PaCMAP
22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,female,21,12,-3.7920141,-0.14673586,PaCMAP
23,Nougatti,Odin,before,partner,6.0,Odin-Nougatti,female,9,7,-3.4217432,-0.011444251,PaCMAP
24,Nougatti,Tabor,after,non-partner,2.0,Odin-Nougatti,female,11,4,1.8306608,-0.3897075,PaCMAP
25,Nougatti,Tabor,after,non-partner,3.0,Odin-Nougatti,female,19,7,-1.0383925,-1.409346,PaCMAP
26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,female,22,10,-0.99149466,-0.89666027,PaCMAP
27,Nougatti,Tabor,before,non-partner,3.0,Odin-Nougatti,female,5,5,-4.1795583,0.097550705,PaCMAP
28,Nougatti,Tabor,before,non-partner,4.0,Odin-Nougatti,female,14,8,-3.0016272,-0.09626844,PaCMAP
29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,female,8,6,-4.113427,0.06752498,PaCMAP
30,Nougatti,Tabor,before,non-partner,6.0,Odin-Nougatti,female,14,6,-4.454095,-0.099431075,PaCMAP
31,Nougatti,Wuschel,after,non-partner,3.0,Odin-Nougatti,female,14,2,-1.0712491,-1.7035235,PaCMAP
32,Nougatti,Wuschel,after,non-partner,4.0,Odin-Nougatti,female,17,5,4.030501,0.5027888,PaCMAP
33,Nougatti,Wuschel,after,non-partner,5.0,Odin-Nougatti,female,27,11,-1.114994,-1.3326102,PaCMAP
34,Nougatti,Wuschel,after,non-partner,6.0,Odin-Nougatti,female,16,6,-0.82402784,-1.3154097,PaCMAP
35,Nougatti,Wuschel,before,non-partner,1.0,Odin-Nougatti,female,14,7,-4.0484967,-0.65941477,PaCMAP
36,Nougatti,Wuschel,before,non-partner,2.0,Odin-Nougatti,female,19,8,0.3453011,-0.92683476,PaCMAP
37,Nougatti,Wuschel,before,non-partner,3.0,Odin-Nougatti,female,42,7,0.20900285,-0.96097904,PaCMAP
38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,female,23,14,-2.239296,-0.32597286,PaCMAP
39,Nougatti,Wuschel,before,non-partner,5.0,Odin-Nougatti,female,5,5,-3.6056106,-0.321178,PaCMAP
40,Odin,Lola,after,non-partner,2.0,Odin-Nougatti,male,17,6,-0.10689693,-0.747613,PaCMAP
41,Odin,Lola,after,non-partner,3.0,Odin-Nougatti,male,7,6,-1.5770937,-1.3973244,PaCMAP
42,Odin,Lola,after,non-partner,4.0,Odin-Nougatti,male,17,10,-2.9240642,-0.1950087,PaCMAP
43,Odin,Lola,after,non-partner,5.0,Odin-Nougatti,male,11,4,2.2907794,1.1204449,PaCMAP
44,Odin,Lola,after,non-partner,6.0,Odin-Nougatti,male,18,12,-2.0569284,-0.5555604,PaCMAP
45,Odin,Lola,before,non-partner,1.0,Odin-Nougatti,male,13,7,-3.8042414,1.1166755,PaCMAP
46,Odin,Lola,before,non-partner,3.0,Odin-Nougatti,male,8,4,3.2911289,0.62365973,PaCMAP
