group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
0,Lola,Odin,after,non-partner,2.0,Tabor-Lola,female,6,4,-1.5805649,5.6358156,UMAP
1,Lola,Odin,after,non-partner,3.0,Tabor-Lola,female,30,10,-1.0634557,6.6311817,UMAP
2,Lola,Odin,after,non-partner,4.0,Tabor-Lola,female,17,8,-2.394927,6.342973,UMAP
3,Lola,Odin,after,non-partner,5.0,Tabor-Lola,female,7,3,-1.3215165,6.6911645,UMAP
4,Lola,Odin,after,non-partner,6.0,Tabor-Lola,female,20,10,-2.0171716,5.70562,UMAP
5,Lola,Tabor,after,partner,3.0,Tabor-Lola,female,20,3,0.3091854,5.698936,UMAP
6,Lola,Tabor,after,partner,5.0,Tabor-Lola,female,9,2,1.0830512,5.728421,UMAP
7,Lola,Tabor,before,partner,4.0,Tabor-Lola,female,12,3,0.410343,5.058449,UMAP
8,Lola,Tabor,before,partner,6.0,Tabor-Lola,female,13,5,0.42483512,6.2263203,UMAP
9,Lola,Wuschel,after,non-partner,2.0,Tabor-Lola,female,26,11,-1.5854654,6.451761,UMAP
10,Lola,Wuschel,after,non-partner,3.0,Tabor-Lola,female,29,11,-2.2282093,6.2391424,UMAP
11,Lola,Wuschel,after,non-partner,4.0,Tabor-Lola,female,12,4,0.31354508,5.7459445,UMAP
12,Lola,Wuschel,after,non-partner,5.0,Tabor-Lola,female,28,8,-1.8638302,6.389356,UMAP
13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,female,27,9,-1.5699118,6.049834,UMAP
14,Lola,Wuschel,before,non-partner,3.0,Tabor-Lola,female,5,4,-4.043251,4.5471606,UMAP
15,Lola,Wuschel,before,non-partner,4.0,Tabor-Lola,female,12,3,1.2651917,6.1286273,UMAP
16,Nougatti,Odin,after,partner,3.0,Odin-Nougatti,female,6,1,0.8116277,5.7488003,UMAP
17,Nougatti,Odin,after,partner,6.0,Odin-Nougatti,female,20,8,-2.1042309,5.06564,UMAP
18,Nougatti,Odin,before,partner,1.0,Odin-Nougatti,female,9,7,-3.6202247,4.4837813,UMAP
19,Nougatti,Odin,before,partner,2.0,Odin-Nougatti,female,7,5,-2.9234526,5.786351,UMAP
20,Nougatti,Odin,before,partner,3.0,Odin-Nougatti,female,12,8,-2.7624025,5.2179914,UMAP
21,Nougatti,Odin,before,partner,4.0,Odin-Nougatti,female,16,7,-3.9519079,4.664043,UMAP
22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,female,21,12,-3.0106902,4.8488154,UMAP
23,Nougatti,Odin,before,partner,6.0,Odin-Nougatti,female,9,7,-3.8320866,5.1736135,UMAP
24,Nougatti,Tabor,after,non-partner,2.0,Odin-Nougatti,female,11,4,0.819627,6.1236725,UMAP
25,Nougatti,Tabor,after,non-partner,3.0,Odin-Nougatti,female,19,7,1.1242452,6.4743733,UMAP
26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,female,22,10,0.35897633,6.262468,UMAP
27,Nougatti,Tabor,before,non-partner,3.0,Odin-Nougatti,female,5,5,-3.23387,4.7715087,UMAP
28,Nougatti,Tabor,before,non-partner,4.0,Odin-Nougatti,female,14,8,-2.7421908,5.1470447,UMAP
29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,female,8,6,-3.715576,4.793756,UMAP
30,Nougatti,Tabor,before,non-partner,6.0,Odin-Nougatti,female,14,6,-3.8600447,4.333748,UMAP
31,Nougatti,Wuschel,after,non-partner,3.0,Odin-Nougatti,female,14,2,1.1945122,5.9688153,UMAP
32,Nougatti,Wuschel,after,non-partner,4.0,Odin-Nougatti,female,17,5,0.85209477,5.1449904,UMAP
33,Nougatti,Wuschel,after,non-partner,5.0,Odin-Nougatti,female,27,11,-1.0430804,5.917289,UMAP
34,Nougatti,Wuschel,after,non-partner,6.0,Odin-Nougatti,female,16,6,1.2054175,5.6941605,UMAP
35,Nougatti,Wuschel,before,non-partner,1.0,Odin-Nougatti,female,14,7,-2.6070766,4.7339854,UMAP
36,Nougatti,Wuschel,before,non-partner,2.0,Odin-Nougatti,female,19,8,-1.7340925,5.38685,UMAP
37,Nougatti,Wuschel,before,non-partner,3.0,Odin-Nougatti,female,42,7,-2.2142236,5.4029927,UMAP
38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,female,23,14,-3.1101136,5.6456213,UMAP
39,Nougatti,Wuschel,before,non-partner,5.0,Odin-Nougatti,female,5,5,-3.532599,5.0223923,UMAP
40,Odin,Lola,after,non-partner,2.0,Odin-Nougatti,male,17,6,0.9072058,6.183955,UMAP
41,Odin,Lola,after,non-partner,3.0,Odin-Nougatti,male,7,6,-3.4484684,6.644927,UMAP
42,Odin,Lola,after,non-partner,4.0,Odin-Nougatti,male,17,10,-4.088916,6.832913,UMAP
43,Odin,Lola,after,non-partner,5.0,Odin-Nougatti,male,11,4,0.8752935,5.910234,UMAP
44,Odin,Lola,after,non-partner,6.0,Odin-Nougatti,male,18,12,-3.4007313,6.245419,UMAP
45,Odin,Lola,before,non-partner,1.0,Odin-Nougatti,male,13,7,0.49575043,6.508269,UMAP
46,Odin,Lola,before,non-partner,3.0,Odin-Nougatti,male,8,4,0.14443778,6.6577544,UMAP
47,Odin,Lola,before,non-partner,5.0,Odin-Nougatti,male,7,3,-3.0260136,4.1268673,UMAP
48,Odin,Lola,before,non-partner,6.0,Odin-Nougatti,male,7,4,0.46956542,5.168745,UMAP
49,Odin,Nougatti,before,partner,1.0,Odin-Nougatti,male,11,9,-2.9062524,6.3655615,UMAP
50,Odin,Nougatti,before,partner,2.0,Odin-Nougatti,male,16,5,0.64927185,5.8721466,UMAP
51,Odin,Nougatti,before,partner,3.0,Odin-Nougatti,male,20,11,0.62516576,5.093967,UMAP
52,Odin,Nougatti,before,partner,4.0,Odin-Nougatti,male,32,5,0.25439093,5.3524685,UMAP
53,Odin,Nougatti,before,partner,5.0,Odin-Nougatti,male,10,5,-0.52513653,5.558661,UMAP
54,Odin,Nougatti,before,partner,6.0,Odin-Nougatti,male,8,5,-2.8986561,4.3248253,UMAP
55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,male,26,13,-4.1601987,6.63324,UMAP
56,Odin,Olympia,after,non-partner,3.0,Odin-Nougatti,male,26,17,-3.937423,6.8359084,UMAP
57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,male,16,7,-2.999346,6.931687,UMAP
58,Odin,Olympia,after,non-partner,5.0,Odin-Nougatti,male,20,13,-3.8335683,6.926191,UMAP
59,Odin,Olympia,before,non-partner,1.0,Odin-Nougatti,male,27,14,-3.381133,6.863944,UMAP
60,Odin,Olympia,before,non-partner,2.0,Odin-Nougatti,male,21,9,-3.1376946,6.540577,UMAP
61,Odin,Olympia,before,non-partner,3.0,Odin-Nougatti,male,18,5,-0.2304491,6.2975526,UMAP
62,Odin,Olympia,before,non-partner,4.0,Odin-Nougatti,male,13,12,-3.7607644,6.619008,UMAP
63,Olympia,Odin,after,non-partner,1.0,Wuschel-Olympia,female,9,2,0.71141076,6.5103097,UMAP
64,Olympia,Odin,after,non-partner,3.0,Wuschel-Olympia,female,7,2,0.9715345,5.2851787,UMAP
65,Olympia,Odin,before,non-partner,3.0,Wuschel-Olympia,female,10,1,1.4752641,6.3166337,UMAP
66,Olympia,Tabor,before,non-partner,4.0,Wuschel-Olympia,female,6,3,1.6931826,5.5458193,UMAP
67,Olympia,Tabor,before,non-partner,6.0,Wuschel-Olympia,female,7,2,-0.3907121,6.498114,UMAP
68,Olympia,Wuschel,after,partner,2.0,Wuschel-Olympia,female,6,2,0.9844142,6.7867103,UMAP
69,Olympia,Wuschel,before,partner,3.0,Wuschel-Olympia,female,9,4,1.1397915,6.6193337,UMAP
70,Olympia,Wuschel,before,partner,4.0,Wuschel-Olympia,female,5,3,0.7905871,5.5373335,UMAP
71,Olympia,Wuschel,before,partner,5.0,Wuschel-Olympia,female,22,3,1.1947557,5.706611,UMAP
72,Olympia,Wuschel,before,partner,6.0,Wuschel-Olympia,female,10,2,1.4675759,5.50108,UMAP
73,Tabor,Lola,after,partner,3.0,Tabor-Lola,male,8,6,-3.697709,5.7560396,UMAP
74,Tabor,Lola,after,partner,5.0,Tabor-Lola,male,9,5,-3.4567308,5.9867187,UMAP
75,Tabor,Lola,before,partner,3.0,Tabor-Lola,male,16,8,-4.0337157,4.899184,UMAP
76,Tabor,Lola,before,partner,6.0,Tabor-Lola,male,7,6,-3.975132,5.6794744,UMAP
77,Tabor,Nougatti,after,non-partner,2.0,Tabor-Lola,male,20,15,-3.7569745,6.1444535,UMAP
78,Tabor,Nougatti,after,non-partner,3.0,Tabor-Lola,male,8,8,-2.9256878,5.9834547,UMAP
79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,male,8,5,-3.341372,5.9994903,UMAP
80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,male,9,7,-3.8221674,5.938765,UMAP
81,Tabor,Nougatti,after,non-partner,6.0,Tabor-Lola,male,7,7,-4.120509,6.3740983,UMAP
82,Tabor,Nougatti,before,non-partner,4.0,Tabor-Lola,male,5,4,-4.162939,6.5960374,UMAP
83,Tabor,Nougatti,before,non-partner,6.0,Tabor-Lola,male,18,8,-3.4121745,5.427245,UMAP
84,Tabor,Olympia,after,non-partner,2.0,Tabor-Lola,male,11,10,-4.219087,5.960123,UMAP
85,Tabor,Olympia,after,non-partner,3.0,Tabor-Lola,male,14,10,-3.5830414,5.6255226,UMAP
86,Tabor,Olympia,after,non-partner,4.0,Tabor-Lola,male,21,10,-2.5848951,6.6093407,UMAP
87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,male,11,5,-2.1731722,6.897057,UMAP
88,Tabor,Olympia,after,non-partner,6.0,Tabor-Lola,male,14,10,-2.7477539,6.680204,UMAP
89,Tabor,Olympia,before,non-partner,4.0,Tabor-Lola,male,6,3,-3.2062237,5.213084,UMAP
90,Tabor,Olympia,before,non-partner,5.0,Tabor-Lola,male,13,7,-3.0983207,6.5808177,UMAP
91,Wuschel,Lola,after,non-partner,3.0,Wuschel-Olympia,male,15,3,0.9186038,6.366549,UMAP
92,Wuschel,Lola,after,non-partner,5.0,Wuschel-Olympia,male,12,3,1.4030318,5.374496,UMAP
93,Wuschel,Lola,after,non-partner,6.0,Wuschel-Olympia,male,9,3,1.6598018,5.9664187,UMAP
94,Wuschel,Lola,before,non-partner,2.0,Wuschel-Olympia,male,11,6,-2.660682,5.4262342,UMAP
95,Wuschel,Lola,before,non-partner,3.0,Wuschel-Olympia,male,6,3,-2.5046551,5.799146,UMAP
96,Wuschel,Lola,before,non-partner,4.0,Wuschel-Olympia,male,10,5,-4.3191047,6.1293907,UMAP
97,Wuschel,Nougatti,after,non-partner,4.0,Wuschel-Olympia,male,10,4,1.4141917,5.2197127,UMAP
98,Wuschel,Nougatti,before,non-partner,2.0,Wuschel-Olympia,male,10,4,1.6747608,6.1951327,UMAP
99,Wuschel,Nougatti,before,non-partner,4.0,Wuschel-Olympia,male,5,3,-0.8516601,6.25831,UMAP
100,Wuschel,Nougatti,before,non-partner,5.0,Wuschel-Olympia,male,8,6,-3.2868743,4.877482,UMAP
101,Wuschel,Olympia,after,partner,3.0,Wuschel-Olympia,male,5,3,-1.6750468,6.45705,UMAP
102,Wuschel,Olympia,after,partner,4.0,Wuschel-Olympia,male,21,8,-2.2472122,6.151905,UMAP
103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,male,19,10,-1.0597799,5.296595,UMAP
104,Wuschel,Olympia,before,partner,3.0,Wuschel-Olympia,male,11,6,-2.2172253,5.909729,UMAP
105,Wuschel,Olympia,before,partner,5.0,Wuschel-Olympia,male,18,2,1.8397428,5.764428,UMAP
106,Wuschel,Olympia,before,partner,6.0,Wuschel-Olympia,male,18,3,1.222427,6.435136,UMAP
