border_order,border_side,group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,selection_reason,sequence_order,exact_sequence,count
1,top,57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,1,AA,4
1,top,57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,2,AAA,4
1,top,57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,3,AAAA,3
1,top,57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,4,APAAA,2
1,top,57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,5,APPA,1
1,top,57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,6,APPAAA,1
1,top,57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,7,APPAAAPA,1
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,1,AA,11
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,2,AAA,5
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,3,AAAP,5
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,4,AAK,1
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,5,AAS,1
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,6,AAPP,1
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,7,AAPS,1
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,8,AAAPP,1
2,top,13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,individual-stage centroid-nearest,9,AAAPS,1
3,top,63,Olympia,Odin,after,non-partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,1,AA,8
3,top,63,Olympia,Odin,after,non-partner,1.0,Wuschel-Olympia,individual-stage centroid-nearest,2,AAA,1
4,right,91,Wuschel,Lola,after,non-partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,1,AA,13
4,right,91,Wuschel,Lola,after,non-partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,2,AAA,1
4,right,91,Wuschel,Lola,after,non-partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,3,AAK,1
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,1,AA,8
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,2,AAK,3
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,3,APA,3
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,4,AAA,2
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,5,AAS,1
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,6,PAK,1
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,7,AAAP,1
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,8,APAA,1
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,9,AAAPP,1
5,right,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,10,AAAPPP,1
