group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
0,Lola,Odin,after,non-partner,2.0,Tabor-Lola,female,6,4,2.1598752,8.857253,UMAP
1,Lola,Odin,after,non-partner,3.0,Tabor-Lola,female,30,10,8.393134,10.50129,UMAP
2,Lola,Odin,after,non-partner,4.0,Tabor-Lola,female,17,8,10.31385,10.3360615,UMAP
3,Lola,Odin,after,non-partner,5.0,Tabor-Lola,female,7,3,10.397705,11.324542,UMAP
4,Lola,Odin,after,non-partner,6.0,Tabor-Lola,female,20,10,1.7959518,8.872746,UMAP
5,Lola,Tabor,after,partner,3.0,Tabor-Lola,female,20,3,0.97288734,8.900767,UMAP
6,Lola,Tabor,after,partner,5.0,Tabor-Lola,female,9,2,-1.986086,-2.8257449,UMAP
7,Lola,Tabor,before,partner,4.0,Tabor-Lola,female,12,3,11.751157,11.170973,UMAP
8,Lola,Tabor,before,partner,6.0,Tabor-Lola,female,13,5,0.80890113,8.629465,UMAP
9,Lola,Wuschel,after,non-partner,2.0,Tabor-Lola,female,26,11,9.561225,10.817558,UMAP
10,Lola,Wuschel,after,non-partner,3.0,Tabor-Lola,female,29,11,9.312459,10.700065,UMAP
11,Lola,Wuschel,after,non-partner,4.0,Tabor-Lola,female,12,4,6.969318,9.876209,UMAP
12,Lola,Wuschel,after,non-partner,5.0,Tabor-Lola,female,28,8,10.516545,11.220638,UMAP
13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,female,27,9,10.680353,11.203199,UMAP
14,Lola,Wuschel,before,non-partner,3.0,Tabor-Lola,female,5,4,-1.5650402,-2.617145,UMAP
15,Lola,Wuschel,before,non-partner,4.0,Tabor-Lola,female,12,3,-2.2802644,-2.6186368,UMAP
16,Nougatti,Odin,after,partner,3.0,Odin-Nougatti,female,6,1,-1.782223,-2.621356,UMAP
17,Nougatti,Odin,after,partner,6.0,Odin-Nougatti,female,20,8,1.9166533,8.803855,UMAP
