group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
0,Lola,Odin,after,non-partner,2.0,Tabor-Lola,female,6,4,-3.8109922,-1.6235727,PaCMAP
1,Lola,Odin,after,non-partner,3.0,Tabor-Lola,female,30,10,-2.9124641,1.8488791,PaCMAP
2,Lola,Odin,after,non-partner,4.0,Tabor-Lola,female,17,8,-2.808765,2.06561,PaCMAP
3,Lola,Odin,after,non-partner,5.0,Tabor-Lola,female,7,3,-3.3613033,0.45239636,PaCMAP
4,Lola,Odin,after,non-partner,6.0,Tabor-Lola,female,20,10,-2.6217458,1.8782637,PaCMAP
5,Lola,Tabor,after,partner,3.0,Tabor-Lola,female,20,3,-4.423473,-2.0340538,PaCMAP
6,Lola,Tabor,after,partner,5.0,Tabor-Lola,female,9,2,-2.7891188,2.3254948,PaCMAP
7,Lola,Tabor,before,partner,4.0,Tabor-Lola,female,12,3,3.7019012,-0.23455587,PaCMAP
8,Lola,Tabor,before,partner,6.0,Tabor-Lola,female,13,5,-0.11195563,-1.4312154,PaCMAP
9,Lola,Wuschel,after,non-partner,2.0,Tabor-Lola,female,26,11,-2.757624,1.1216178,PaCMAP
10,Lola,Wuschel,after,non-partner,3.0,Tabor-Lola,female,29,11,-2.6757247,1.7338535,PaCMAP
11,Lola,Wuschel,after,non-partner,4.0,Tabor-Lola,female,12,4,-4.297274,-1.946951,PaCMAP
12,Lola,Wuschel,after,non-partner,5.0,Tabor-Lola,female,28,8,-2.9399421,1.9067485,PaCMAP
13,Lola,Wuschel,after,non-partner,6.0,Tabor-Lola,female,27,9,-3.3441136,0.2635221,PaCMAP
14,Lola,Wuschel,before,non-partner,3.0,Tabor-Lola,female,5,4,0.7909252,1.4509317,PaCMAP
15,Lola,Wuschel,before,non-partner,4.0,Tabor-Lola,female,12,3,-0.5127143,1.8153162,PaCMAP
16,Nougatti,Odin,after,partner,3.0,Odin-Nougatti,female,6,1,-4.3308086,-2.0205414,PaCMAP
17,Nougatti,Odin,after,partner,6.0,Odin-Nougatti,female,20,8,-0.12222707,-1.0175277,PaCMAP
18,Nougatti,Odin,before,partner,1.0,Odin-Nougatti,female,9,7,2.9262662,0.24994111,PaCMAP
19,Nougatti,Odin,before,partner,2.0,Odin-Nougatti,female,7,5,3.0446477,0.13288124,PaCMAP
20,Nougatti,Odin,before,partner,3.0,Odin-Nougatti,female,12,8,-0.13096716,1.6169422,PaCMAP
21,Nougatti,Odin,before,partner,4.0,Odin-Nougatti,female,16,7,1.6632589,0.7948692,PaCMAP
22,Nougatti,Odin,before,partner,5.0,Odin-Nougatti,female,21,12,2.5324376,1.4441737,PaCMAP
23,Nougatti,Odin,before,partner,6.0,Odin-Nougatti,female,9,7,-2.4600043,1.8751922,PaCMAP
24,Nougatti,Tabor,after,non-partner,2.0,Odin-Nougatti,female,11,4,-0.19270553,-1.4421489,PaCMAP
25,Nougatti,Tabor,after,non-partner,3.0,Odin-Nougatti,female,19,7,-0.2862378,-1.4033986,PaCMAP
26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,female,22,10,-0.9217668,-0.8556794,PaCMAP
27,Nougatti,Tabor,before,non-partner,3.0,Odin-Nougatti,female,5,5,2.5810323,1.0076209,PaCMAP
28,Nougatti,Tabor,before,non-partner,4.0,Odin-Nougatti,female,14,8,3.0937202,0.10181336,PaCMAP
29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,female,8,6,-2.0809093,1.7757468,PaCMAP
30,Nougatti,Tabor,before,non-partner,6.0,Odin-Nougatti,female,14,6,-1.2734708,1.3107157,PaCMAP
31,Nougatti,Wuschel,after,non-partner,3.0,Odin-Nougatti,female,14,2,-0.086245954,-1.4951004,PaCMAP
32,Nougatti,Wuschel,after,non-partner,4.0,Odin-Nougatti,female,17,5,-2.7504106,2.2887769,PaCMAP
33,Nougatti,Wuschel,after,non-partner,5.0,Odin-Nougatti,female,27,11,0.24923508,-1.2370521,PaCMAP
34,Nougatti,Wuschel,after,non-partner,6.0,Odin-Nougatti,female,16,6,-0.6079242,-1.2278168,PaCMAP
35,Nougatti,Wuschel,before,non-partner,1.0,Odin-Nougatti,female,14,7,-0.5575606,-1.0528408,PaCMAP
36,Nougatti,Wuschel,before,non-partner,2.0,Odin-Nougatti,female,19,8,-2.0132294,-0.11341189,PaCMAP
37,Nougatti,Wuschel,before,non-partner,3.0,Odin-Nougatti,female,42,7,-1.8639196,0.8352604,PaCMAP
38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,female,23,14,0.82216984,1.4730958,PaCMAP
39,Nougatti,Wuschel,before,non-partner,5.0,Odin-Nougatti,female,5,5,-1.8265184,1.127124,PaCMAP
40,Odin,Lola,after,non-partner,2.0,Odin-Nougatti,male,17,6,0.0029354258,-1.0896382,PaCMAP
41,Odin,Lola,after,non-partner,3.0,Odin-Nougatti,male,7,6,-0.69119596,-1.2441821,PaCMAP
42,Odin,Lola,after,non-partner,4.0,Odin-Nougatti,male,17,10,3.1288755,-0.13133407,PaCMAP
43,Odin,Lola,after,non-partner,5.0,Odin-Nougatti,male,11,4,4.043287,-0.44138473,PaCMAP
44,Odin,Lola,after,non-partner,6.0,Odin-Nougatti,male,18,12,2.9318142,-0.07400825,PaCMAP
45,Odin,Lola,before,non-partner,1.0,Odin-Nougatti,male,13,7,2.8968306,0.89111435,PaCMAP
46,Odin,Lola,before,non-partner,3.0,Odin-Nougatti,male,8,4,4.073443,-0.36779794,PaCMAP
47,Odin,Lola,before,non-partner,5.0,Odin-Nougatti,male,7,3,3.2677987,-0.15448399,PaCMAP
48,Odin,Lola,before,non-partner,6.0,Odin-Nougatti,male,7,4,3.6252317,-0.29734695,PaCMAP
49,Odin,Nougatti,before,partner,1.0,Odin-Nougatti,male,11,9,3.255997,-0.09204458,PaCMAP
50,Odin,Nougatti,before,partner,2.0,Odin-Nougatti,male,16,5,2.9396012,-0.4404691,PaCMAP
51,Odin,Nougatti,before,partner,3.0,Odin-Nougatti,male,20,11,2.916951,-0.58756924,PaCMAP
52,Odin,Nougatti,before,partner,4.0,Odin-Nougatti,male,32,5,3.408052,-0.19262652,PaCMAP
53,Odin,Nougatti,before,partner,5.0,Odin-Nougatti,male,10,5,3.5551314,-0.22775774,PaCMAP
54,Odin,Nougatti,before,partner,6.0,Odin-Nougatti,male,8,5,2.6781123,-0.3910678,PaCMAP
55,Odin,Olympia,after,non-partner,1.0,Odin-Nougatti,male,26,13,2.843608,-0.40183437,PaCMAP
56,Odin,Olympia,after,non-partner,3.0,Odin-Nougatti,male,26,17,-1.4500843,0.0008883017,PaCMAP
57,Odin,Olympia,after,non-partner,4.0,Odin-Nougatti,male,16,7,-0.77077,-1.0280441,PaCMAP
58,Odin,Olympia,after,non-partner,5.0,Odin-Nougatti,male,20,13,2.9313257,-0.22991985,PaCMAP
59,Odin,Olympia,before,non-partner,1.0,Odin-Nougatti,male,27,14,0.6348129,-1.1742389,PaCMAP
