border_order,border_side,group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,selection_reason,sequence_order,exact_sequence,count
1,top,6,Lola,Tabor,after,partner,5.0,Tabor-Lola,balanced farthest-point coverage,1,AA,8
1,top,6,Lola,Tabor,after,partner,5.0,Tabor-Lola,balanced farthest-point coverage,2,AAPP,1
2,top,29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,balanced farthest-point coverage,1,AP,2
2,top,29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,balanced farthest-point coverage,2,AAPP,2
2,top,29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,balanced farthest-point coverage,3,AAAP,1
2,top,29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,balanced farthest-point coverage,4,AAAPP,1
2,top,29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,balanced farthest-point coverage,5,AAPPP,1
2,top,29,Nougatti,Tabor,before,non-partner,5.0,Odin-Nougatti,balanced farthest-point coverage,6,PAAPPP,1
3,top,80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,1,AAA,2
3,top,80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,2,APAAPP,2
3,top,80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,3,AAP,1
3,top,80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,4,AAAAP,1
3,top,80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,5,AAAPPP,1
3,top,80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,6,APPAAP,1
3,top,80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,7,APPPAAAP,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,1,AAPP,4
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,2,AAP,3
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,3,AAAP,3
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,4,AA,2
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,5,SAAAP,2
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,6,PA,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,7,RP,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,8,AAA,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,9,AAAK,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,10,SAAA,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,11,SAPP,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,12,SKAA,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,13,SKAP,1
4,top,38,Nougatti,Wuschel,before,non-partner,4.0,Odin-Nougatti,individual-stage centroid-nearest,14,SSKAAAP,1
5,right,14,Lola,Wuschel,before,non-partner,3.0,Tabor-Lola,individual-stage centroid-nearest,1,APP,2
5,right,14,Lola,Wuschel,before,non-partner,3.0,Tabor-Lola,individual-stage centroid-nearest,2,AA,1
