file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,Unnamed: 12,file_prefix,date,time,ID,Date_Time,session_number
phees_2022-02-17_09-53-35_0000039,acoustic,USGH1,acc,before,Tabor,Nougatti,17,2,2022,AT/MM,,,phees,2022-02-17,09-53-35,0000039,2022-02-17 09:53:35,1
trills_2022-02-17_09-53-37_0000039,acoustic,USGH2,acc,before,Tabor,Nougatti,17,2,2022,AT/MM,,,trills,2022-02-17,09-53-37,0000039,2022-02-17 09:53:37,1
phees_2022-02-22_09-14-37_0000041,acoustic,USGH1,acc,before,Odin,Olympia,22,2,2022,AT/MM,,,phees,2022-02-22,09-14-37,0000041,2022-02-22 09:14:37,1
trills_2022-02-22_09-14-39_0000041,acoustic,USGH2,acc,before,Odin,Olympia,22,2,2022,AT/MM,,,trills,2022-02-22,09-14-39,0000041,2022-02-22 09:14:39,1
phees_2022-02-23_09-24-00_0000042,acoustic,USGH1,acc,before,Tabor,Lola,23,2,2022,AT/MM,,,phees,2022-02-23,09-24-00,0000042,2022-02-23 09:24:00,1
trills_2022-02-23_09-24-02_0000042,acoustic,USGH2,acc,before,Tabor,Lola,23,2,2022,AT/MM,,,trills,2022-02-23,09-24-02,0000042,2022-02-23 09:24:02,1
phees_2022-02-25_10-36-24_0000044,acoustic,USGH1,acc,before,Odin,Lola,25,2,2022,AT/MM,,,phees,2022-02-25,10-36-24,0000044,2022-02-25 10:36:24,1
trills_2022-02-25_10-36-26_0000044,acoustic,USGH2,acc,before,Odin,Lola,25,2,2022,AT/MM,,,trills,2022-02-25,10-36-26,0000044,2022-02-25 10:36:26,1
phees_2022-02-28_09-34-19_0000045,acoustic,USGH1,acc,before,Wuschel,Olympia,28,2,2022,AT/MM,,,phees,2022-02-28,09-34-19,0000045,2022-02-28 09:34:19,1
trills_2022-02-28_09-34-20_0000045,acoustic,USGH2,acc,before,Wuschel,Olympia,28,2,2022,AT/MM,,,trills,2022-02-28,09-34-20,0000045,2022-02-28 09:34:20,1
phees_2022-02-28_10-15-56_0000046,acoustic,USGH1,acc,before,Odin,Nougatti,28,2,2022,AT/MM,,,phees,2022-02-28,10-15-56,0000046,2022-02-28 10:15:56,1
trills_2022-02-28_10-15-58_0000046,acoustic,USGH2,acc,before,Odin,Nougatti,28,2,2022,AT/MM,,,trills,2022-02-28,10-15-58,0000046,2022-02-28 10:15:58,1
phees_2022-03-01_09-22-30_0000047,acoustic,USGH1,acc,before,Tabor,Olympia,1,3,2022,AT/MM,,,phees,2022-03-01,09-22-30,0000047,2022-03-01 09:22:30,1
trills_2022-03-01_09-22-32_0000047,acoustic,USGH2,acc,before,Tabor,Olympia,1,3,2022,AT/MM,,,trills,2022-03-01,09-22-32,0000047,2022-03-01 09:22:32,1
phees_2022-03-03_09-27-17_0000048,acoustic,USGH1,acc,before,Wuschel,Lola,3,3,2022,AT/MM,,,phees,2022-03-03,09-27-17,0000048,2022-03-03 09:27:17,1
trills_2022-03-03_09-27-19_0000048,acoustic,USGH2,acc,before,Wuschel,Lola,3,3,2022,AT/MM,,,trills,2022-03-03,09-27-19,0000048,2022-03-03 09:27:19,1
trills_2022-03-03_09-33-18_0000049,acoustic,USGH2,acc,before,Wuschel,Lola,3,3,2022,AT/MM,"Avisoft stopped recording again, trills devided in 2 parts, hands clapping to synchronize it as well.",,trills,2022-03-03,09-33-18,0000049,2022-03-03 09:33:18,1
phees_2022-03-03_10-14-46_0000049,acoustic,USGH1,acc,before,Tabor,Nougatti,3,3,2022,AT/MM,,,phees,2022-03-03,10-14-46,0000049,2022-03-03 10:14:46,2
trills_2022-03-03_10-14-47_0000050,acoustic,USGH2,acc,before,Tabor,Nougatti,3,3,2022,AT/MM,,,trills,2022-03-03,10-14-47,0000050,2022-03-03 10:14:47,2
