pair,stage,session_focal,session_partner,metric,distance,z_distance,distance_01
Tabor-Lola,before,3.0,4.0,local_alignment,-1.7380535714681256,3.6961667803329203,1.0
Tabor-Lola,before,3.0,4.0,transition_matrix,1.8634561359328246,1.0267066904050444,0.8493649800643036
Tabor-Lola,before,3.0,4.0,bigram,0.7954263696180511,2.994598095671814,1.0
Tabor-Lola,before,3.0,4.0,repeat_A_len,0.23566299059243112,-0.6384277493256343,0.208330727723819
Tabor-Lola,before,3.0,6.0,local_alignment,-2.1051000834855875,2.0697097911396667,0.6800881792575808
Tabor-Lola,before,3.0,6.0,transition_matrix,1.4485435341762207,0.045018924104485554,0.6447162482995836
Tabor-Lola,before,3.0,6.0,bigram,0.5608823774112393,1.281233923333819,0.6545463993462435
Tabor-Lola,before,3.0,6.0,repeat_A_len,0.35354357211942117,-0.22331996630073506,0.31257019620131926
Tabor-Lola,before,6.0,4.0,local_alignment,-2.462834487485753,0.48451662730087874,0.3682926416924327
Tabor-Lola,before,6.0,4.0,transition_matrix,1.683365419569521,0.6006100803486707,0.7605382330570626
Tabor-Lola,before,6.0,4.0,bigram,0.6649428785169927,2.0414048945558148,0.8078143404884712
Tabor-Lola,before,6.0,4.0,repeat_A_len,0.2671944525008197,-0.5273920292878231,0.23621337630828002
Tabor-Lola,before,6.0,6.0,local_alignment,-2.843155679868941,-1.2007631430747072,0.03681082361580363
Tabor-Lola,before,6.0,6.0,transition_matrix,1.1525765516900213,-0.6552422024689479,0.4987354625784428
Tabor-Lola,before,6.0,6.0,bigram,0.2515172018516478,-0.9787054721953391,0.19889067008029257
Tabor-Lola,before,6.0,6.0,repeat_A_len,0.42489956012185326,0.027954888315238947,0.3756688861272539
Tabor-Lola,after,3.0,3.0,local_alignment,-2.2596486432866194,1.3848740086757232,0.5453861468440031
Tabor-Lola,after,3.0,3.0,transition_matrix,1.3221315842479342,-0.254073135845999,0.58236565898703
Tabor-Lola,after,3.0,3.0,bigram,0.6256023371035635,1.754018833015965,0.749870704605639
Tabor-Lola,after,3.0,3.0,repeat_A_len,0.6480326738647024,0.8137017090842683,0.5729810886545101
Tabor-Lola,after,3.0,5.0,local_alignment,-2.314433777677604,1.1421100487504776,0.49763630719478685
Tabor-Lola,after,3.0,5.0,transition_matrix,1.1352924243950935,-0.6961366372120164,0.49021035460246976
Tabor-Lola,after,3.0,5.0,bigram,0.4598543607413236,0.5432155134997769,0.5057449237801749
Tabor-Lola,after,3.0,5.0,repeat_A_len,0.7070282235858886,1.0214501909450373,0.6251496872974202
Tabor-Lola,after,5.0,3.0,local_alignment,-2.219096571990609,1.5645684006020557,0.5807306782274423
Tabor-Lola,after,5.0,3.0,transition_matrix,0.7961690814910964,-1.498506185850351,0.32294341273737937
Tabor-Lola,after,5.0,3.0,bigram,0.3851744605050113,-0.0023276242918251425,0.39575088730812014
Tabor-Lola,after,5.0,3.0,repeat_A_len,0.950696678969268,1.8795107043650285,0.8406208865812597
Tabor-Lola,after,5.0,5.0,local_alignment,-2.239003633055761,1.4763562052981187,0.5633800048319128
Tabor-Lola,after,5.0,5.0,transition_matrix,0.5120531622882338,-2.170727566719145,0.18280796663892146
Tabor-Lola,after,5.0,5.0,bigram,0.227252968960678,-1.1559577945144497,0.16315252756630427
Tabor-Lola,after,5.0,5.0,repeat_A_len,1.0302875786574497,2.1597841937773086,0.9110015461578542
Odin-Nougatti,before,1.0,1.0,local_alignment,-2.5955786344953093,-0.10369941238162918,0.2525949838416309
Odin-Nougatti,before,1.0,1.0,transition_matrix,1.2953606384607608,-0.3174134871881847,0.569161335762591
Odin-Nougatti,before,1.0,1.0,bigram,0.35404066726172667,-0.229762679822842,0.34989475227474576
Odin-Nougatti,before,1.0,1.0,repeat_A_len,0.27607372277576997,-0.4961243331926051,0.24406513952440365
Odin-Nougatti,before,1.0,2.0,local_alignment,-2.4571002559560213,0.5099261616346114,0.37329050542134284
Odin-Nougatti,before,1.0,2.0,transition_matrix,1.2388725695552598,-0.45106487775019877,0.5412995364043485
Odin-Nougatti,before,1.0,2.0,bigram,0.20790018548144845,-1.2973315535962378,0.13464832810816008
Odin-Nougatti,before,1.0,2.0,repeat_A_len,0.3690328055084824,-0.16877577208655653,0.3262670191613418
Odin-Nougatti,before,1.0,3.0,local_alignment,-2.7028663175857295,-0.579112735498736,0.15908476942210498
Odin-Nougatti,before,1.0,3.0,transition_matrix,1.88698914643143,1.082386051342497,0.8609722456251857
Odin-Nougatti,before,1.0,3.0,bigram,0.24188927056023402,-1.0490383439659132,0.1847099464549647
