pair,stage,session_focal,session_partner,sess_pair,metric,distance,z_distance,distance_01
Tabor-Lola,before,1.0,1.0,"(1.0,1.0)",T_PC_pairwise,3.810190940694146,-0.2473479214588514,0.4072401887153895
Tabor-Lola,before,1.0,1.0,"(1.0,1.0)",M_PC_pairwise,14.347116248767993,0.4118068938904857,0.5936179383847898
Tabor-Lola,before,1.0,1.0,"(1.0,1.0)",spectro_DTW,0.009475961021946727,-0.61495288166801,0.3573660796976216
Tabor-Lola,before,1.0,4.0,"(1.0,4.0)",T_PC_pairwise,4.345965920112098,0.3796224678468057,0.5647426836916739
Tabor-Lola,before,1.0,4.0,"(1.0,4.0)",M_PC_pairwise,18.613261117814737,1.8541873817814065,0.973274250669782
Tabor-Lola,before,1.0,4.0,"(1.0,4.0)",spectro_DTW,0.011884158897353123,0.12360114718935934,0.5208910294200378
Tabor-Lola,before,1.0,5.0,"(1.0,5.0)",T_PC_pairwise,3.7121794424504673,-0.362042167310025,0.37842761608179354
Tabor-Lola,before,1.0,5.0,"(1.0,5.0)",M_PC_pairwise,14.873757900366636,0.5898640545574805,0.6404852702450637
Tabor-Lola,before,1.0,5.0,"(1.0,5.0)",spectro_DTW,0.00720497983221422,-1.3114248469765926,0.20315861665478832
Tabor-Lola,before,2.0,1.0,"(2.0,1.0)",T_PC_pairwise,4.311886345151711,0.3397421352424399,0.5547242649707709
Tabor-Lola,before,2.0,1.0,"(2.0,1.0)",M_PC_pairwise,14.085655148830362,0.32340708552279573,0.5703497747252471
Tabor-Lola,before,2.0,1.0,"(2.0,1.0)",spectro_DTW,0.014100313599239193,0.8032587452482187,0.6713755846569532
Tabor-Lola,before,2.0,4.0,"(2.0,4.0)",T_PC_pairwise,5.052984678206205,1.2069844071636229,0.7725859437778966
Tabor-Lola,before,2.0,4.0,"(2.0,4.0)",M_PC_pairwise,17.855679419062053,1.5980495585695347,0.9058549100632565
Tabor-Lola,before,2.0,4.0,"(2.0,4.0)",spectro_DTW,0.017328306042320794,1.7932300629318785,0.89056741575604
Tabor-Lola,before,2.0,5.0,"(2.0,5.0)",T_PC_pairwise,4.489988548562887,0.5481594971920576,0.6070812104714887
Tabor-Lola,before,2.0,5.0,"(2.0,5.0)",M_PC_pairwise,15.030775230547453,0.6429515000769157,0.6544586870818446
Tabor-Lola,before,2.0,5.0,"(2.0,5.0)",spectro_DTW,0.011666558349339044,0.05686669689413656,0.5061152009729807
Tabor-Lola,before,3.0,1.0,"(3.0,1.0)",T_PC_pairwise,4.336906591041387,0.36902113091897437,0.5620795004780825
Tabor-Lola,before,3.0,1.0,"(3.0,1.0)",M_PC_pairwise,13.504340566382211,0.1268650465654957,0.518616943932028
Tabor-Lola,before,3.0,1.0,"(3.0,1.0)",spectro_DTW,0.01222923613333276,0.22943056656658475,0.5443229650762379
Tabor-Lola,before,3.0,4.0,"(3.0,4.0)",T_PC_pairwise,5.056335728848472,1.2109058473324927,0.773571056665255
Tabor-Lola,before,3.0,4.0,"(3.0,4.0)",M_PC_pairwise,16.35884057609955,1.0919694307541,0.7726469828483844
Tabor-Lola,before,3.0,4.0,"(3.0,4.0)",spectro_DTW,0.013762452842060714,0.6996424992763807,0.6484336728252833
Tabor-Lola,before,3.0,5.0,"(3.0,5.0)",T_PC_pairwise,4.645228778384045,0.729823499928072,0.6527173906904429
Tabor-Lola,before,3.0,5.0,"(3.0,5.0)",M_PC_pairwise,13.443655504521594,0.1063474711382537,0.5132164084359288
Tabor-Lola,before,3.0,5.0,"(3.0,5.0)",spectro_DTW,0.009492831150429941,-0.6097790952919563,0.3585116196635028
Tabor-Lola,before,4.0,1.0,"(4.0,1.0)",T_PC_pairwise,4.460663280964813,0.5138427128165884,0.5984604219129008
Tabor-Lola,before,4.0,1.0,"(4.0,1.0)",M_PC_pairwise,15.112268406064345,0.6705042836484918,0.6617109955342882
Tabor-Lola,before,4.0,1.0,"(4.0,1.0)",spectro_DTW,0.015572263222900395,1.254681087212794,0.7713260458135175
Tabor-Lola,before,4.0,4.0,"(4.0,4.0)",T_PC_pairwise,5.192416790435021,1.370149558662076,0.8135749902983395
Tabor-Lola,before,4.0,4.0,"(4.0,4.0)",M_PC_pairwise,18.60681551201452,1.852008127132479,0.9727006379576802
Tabor-Lola,before,4.0,4.0,"(4.0,4.0)",spectro_DTW,0.018767642125671214,2.2346503773065214,0.9883033049315993
Tabor-Lola,before,4.0,5.0,"(4.0,5.0)",T_PC_pairwise,4.590036349506297,0.665236649198688,0.6364923977624601
Tabor-Lola,before,4.0,5.0,"(4.0,5.0)",M_PC_pairwise,16.25620801214976,1.0572694352763392,0.763513420359158
Tabor-Lola,before,4.0,5.0,"(4.0,5.0)",spectro_DTW,0.013111972076010921,0.5001509228712524,0.6042637831123207
Tabor-Lola,before,5.0,1.0,"(5.0,1.0)",T_PC_pairwise,4.270778771433791,0.2916375531185512,0.5426398159544548
Tabor-Lola,before,5.0,1.0,"(5.0,1.0)",M_PC_pairwise,14.938468257256957,0.6117425793165127,0.6462440281442334
Tabor-Lola,before,5.0,1.0,"(5.0,1.0)",spectro_DTW,0.011547275812891469,0.020284737095332128,0.4980155049411251
Tabor-Lola,before,5.0,4.0,"(5.0,4.0)",T_PC_pairwise,4.926345404630734,1.058789590859854,0.7353576253301227
Tabor-Lola,before,5.0,4.0,"(5.0,4.0)",M_PC_pairwise,18.573630692350594,1.8407883636582674,0.9697474268867529
Tabor-Lola,before,5.0,4.0,"(5.0,4.0)",spectro_DTW,0.013428985249079727,0.5973735633203118,0.6257900720094373
Tabor-Lola,before,5.0,5.0,"(5.0,5.0)",T_PC_pairwise,4.342486499543124,0.3755508076303142,0.5637198337234269
Tabor-Lola,before,5.0,5.0,"(5.0,5.0)",M_PC_pairwise,15.41861786636009,0.774080814115736,0.6889739014919026
Tabor-Lola,before,5.0,5.0,"(5.0,5.0)",spectro_DTW,0.008950644613364128,-0.7760586420981367,0.32169528196995006
Tabor-Lola,before,6.0,1.0,"(6.0,1.0)",T_PC_pairwise,4.682849834056979,0.7738481162828221,0.663776903283894
Tabor-Lola,before,6.0,1.0,"(6.0,1.0)",M_PC_pairwise,14.726487128509717,0.5400719133425199,0.6273792272327327
Tabor-Lola,before,6.0,1.0,"(6.0,1.0)",spectro_DTW,0.01576471196673978,1.3137018996479561,0.78439397992386
Tabor-Lola,before,6.0,4.0,"(6.0,4.0)",T_PC_pairwise,5.50821529542829,1.7397008054053835,0.9064107037171618
Tabor-Lola,before,6.0,4.0,"(6.0,4.0)",M_PC_pairwise,18.21569248897454,1.7197697165498969,0.9378934925992298
Tabor-Lola,before,6.0,4.0,"(6.0,4.0)",spectro_DTW,0.01893989691774309,2.287478042331018,1.0
Tabor-Lola,before,6.0,5.0,"(6.0,5.0)",T_PC_pairwise,4.8979895586484625,1.025607235435363,0.7270218189544259
Tabor-Lola,before,6.0,5.0,"(6.0,5.0)",M_PC_pairwise,15.69528036712006,0.8676202050826566,0.71359488085624
Tabor-Lola,before,6.0,5.0,"(6.0,5.0)",spectro_DTW,0.013215215809715995,0.531814050000825,0.6112743890661309
Tabor-Lola,after,2.0,2.0,"(2.0,2.0)",T_PC_pairwise,4.643965546540518,0.7283452506795173,0.6523460367177265
Tabor-Lola,after,2.0,2.0,"(2.0,2.0)",M_PC_pairwise,17.586285722032432,1.5069677448750205,0.8818808021258624
Tabor-Lola,after,2.0,2.0,"(2.0,2.0)",spectro_DTW,0.01581016122527289,1.3276404274329892,0.7874801414857681
Tabor-Lola,after,2.0,3.0,"(2.0,3.0)",T_PC_pairwise,4.969070157400254,1.108786615554801,0.747917478658389
Tabor-Lola,after,2.0,3.0,"(2.0,3.0)",M_PC_pairwise,18.333404615120873,1.7595681010758222,0.9483690280289324
Tabor-Lola,after,2.0,3.0,"(2.0,3.0)",spectro_DTW,0.017133164485260283,1.73338340969944,0.8773166303314042
Tabor-Lola,after,2.0,4.0,"(2.0,4.0)",T_PC_pairwise,4.909302612299304,1.0388459082442525,0.7303475326294911
Tabor-Lola,after,2.0,4.0,"(2.0,4.0)",M_PC_pairwise,17.120396529680914,1.3494509466427926,0.8404200036459614
Tabor-Lola,after,2.0,4.0,"(2.0,4.0)",spectro_DTW,0.015653585564128384,1.279621289744909,0.7768481135374465
Tabor-Lola,after,2.0,5.0,"(2.0,5.0)",T_PC_pairwise,4.6856501896801115,0.7771251264506672,0.6646001276120315
Tabor-Lola,after,2.0,5.0,"(2.0,5.0)",M_PC_pairwise,18.37803981722084,1.7746592305517999,0.9523412410567463
Tabor-Lola,after,2.0,5.0,"(2.0,5.0)",spectro_DTW,0.017158003309711223,1.7410010619105265,0.8790032722643552
Tabor-Lola,after,2.0,6.0,"(2.0,6.0)",T_PC_pairwise,5.083435805333145,1.2426186860362833,0.7815377027841557
Tabor-Lola,after,2.0,6.0,"(2.0,6.0)",M_PC_pairwise,18.7217048291141,1.890852121965822,0.9829249636169993
Tabor-Lola,after,2.0,6.0,"(2.0,6.0)",spectro_DTW,0.018182668276786693,2.0552486772709893,0.9485815610480628
Tabor-Lola,after,3.0,2.0,"(3.0,2.0)",T_PC_pairwise,4.611609003329712,0.6904812307592456,0.642834139969494
Tabor-Lola,after,3.0,2.0,"(3.0,2.0)",M_PC_pairwise,17.66898278422424,1.5349275616587434,0.8892402478625376
Tabor-Lola,after,3.0,2.0,"(3.0,2.0)",spectro_DTW,0.014676292985647384,0.9799019940089867,0.7104865734861635
Tabor-Lola,after,3.0,3.0,"(3.0,3.0)",T_PC_pairwise,4.9717243808334155,1.1118926200587838,0.7486977443090947
Tabor-Lola,after,3.0,3.0,"(3.0,3.0)",M_PC_pairwise,18.434211614524266,1.7936508745037145,0.9573401283597468
Tabor-Lola,after,3.0,3.0,"(3.0,3.0)",spectro_DTW,0.016088635056454203,1.4130436960143127,0.8063894760167805
Tabor-Lola,after,3.0,4.0,"(3.0,4.0)",T_PC_pairwise,4.870734606167139,0.9937131589589169,0.7190096437294239
Tabor-Lola,after,3.0,4.0,"(3.0,4.0)",M_PC_pairwise,17.141500533469845,1.3565861950265008,0.8422981087030793
Tabor-Lola,after,3.0,4.0,"(3.0,4.0)",spectro_DTW,0.01442476635322748,0.902762980792601,0.6934070467826644
Tabor-Lola,after,3.0,5.0,"(3.0,5.0)",T_PC_pairwise,4.687116128842589,0.7788405862662696,0.6650310717293257
Tabor-Lola,after,3.0,5.0,"(3.0,5.0)",M_PC_pairwise,18.516645698419765,1.8215217785160762,0.964676170913161
Tabor-Lola,after,3.0,5.0,"(3.0,5.0)",spectro_DTW,0.01601498664482794,1.3904569594005933,0.8013884946060281
Tabor-Lola,after,3.0,6.0,"(3.0,6.0)",T_PC_pairwise,5.084394556535772,1.2437406283401427,0.7818195481712608
