pair,stage,session_focal,session_partner,sess_pair,metric,distance,z_distance,distance_01
Tabor-Lola,before,1.0,1.0,"(1.0,1.0)",T_PC_pairwise,4.209750412062321,0.32363030697631506,0.4979048057554019
Tabor-Lola,before,1.0,1.0,"(1.0,1.0)",M_PC_pairwise,15.437629707462673,0.9387091061728019,0.7104849397065521
Tabor-Lola,before,1.0,1.0,"(1.0,1.0)",spectro_DTW,0.012371062690395968,0.3488685822997561,0.5835690118146972
Tabor-Lola,before,1.0,3.0,"(1.0,3.0)",T_PC_pairwise,4.8422387574757355,1.0713941281177615,0.6820674396069779
Tabor-Lola,before,1.0,3.0,"(1.0,3.0)",M_PC_pairwise,14.288527733102839,0.5308254709663868,0.6063144970457217
Tabor-Lola,before,1.0,3.0,"(1.0,3.0)",spectro_DTW,0.01337391845154788,0.6311634443063253,0.6568322948052682
Tabor-Lola,before,1.0,4.0,"(1.0,4.0)",T_PC_pairwise,3.6068409383740425,-0.3891636838012475,0.32235469885829254
Tabor-Lola,before,1.0,4.0,"(1.0,4.0)",M_PC_pairwise,14.810668648850248,0.7161638826627961,0.6536485470590294
Tabor-Lola,before,1.0,4.0,"(1.0,4.0)",spectro_DTW,0.011555464252143365,0.11928496968249183,0.5239857481958756
Tabor-Lola,before,1.0,5.0,"(1.0,5.0)",T_PC_pairwise,3.8680322971592345,-0.08036835198105229,0.39840620071120353
Tabor-Lola,before,1.0,5.0,"(1.0,5.0)",M_PC_pairwise,14.501120998057267,0.6062872799832243,0.6255868810561587
Tabor-Lola,before,1.0,5.0,"(1.0,5.0)",spectro_DTW,0.008844165818241004,-0.6439211132919418,0.32591277286917636
Tabor-Lola,before,1.0,6.0,"(1.0,6.0)",T_PC_pairwise,4.16269806462399,0.26800233632783854,0.484204499186941
Tabor-Lola,before,1.0,6.0,"(1.0,6.0)",M_PC_pairwise,16.45180209937644,1.298698324858311,0.8024235050883637
Tabor-Lola,before,1.0,6.0,"(1.0,6.0)",spectro_DTW,0.012606960961761594,0.415271820474563,0.6008024789607551
Tabor-Lola,before,2.0,1.0,"(2.0,1.0)",T_PC_pairwise,4.6512586107218254,0.8456064984571484,0.6264594476263962
Tabor-Lola,before,2.0,1.0,"(2.0,1.0)",M_PC_pairwise,15.773636366763506,1.057977561633893,0.7409452149626751
Tabor-Lola,before,2.0,1.0,"(2.0,1.0)",spectro_DTW,0.015671645165419495,1.2779528139721603,0.8246919302527543
Tabor-Lola,before,2.0,3.0,"(2.0,3.0)",T_PC_pairwise,4.8756251770792405,1.1108654588987745,0.69178861631109
Tabor-Lola,before,2.0,3.0,"(2.0,3.0)",M_PC_pairwise,14.171097517201499,0.4891426052036708,0.5956690035689445
Tabor-Lola,before,2.0,3.0,"(2.0,3.0)",spectro_DTW,0.016641152344456015,1.5508603505516254,0.895518944037425
Tabor-Lola,before,2.0,4.0,"(2.0,4.0)",T_PC_pairwise,3.9715222590399146,0.04198338763100019,0.42853953691471525
Tabor-Lola,before,2.0,4.0,"(2.0,4.0)",M_PC_pairwise,14.797504624419402,0.7114911988987715,0.6524551784261687
Tabor-Lola,before,2.0,4.0,"(2.0,4.0)",spectro_DTW,0.013688734770204925,0.719781401818607,0.6798310927753056
Tabor-Lola,before,2.0,5.0,"(2.0,5.0)",T_PC_pairwise,4.466652223155131,0.6273542906891747,0.5727073132089857
Tabor-Lola,before,2.0,5.0,"(2.0,5.0)",M_PC_pairwise,15.35363559691643,0.9088946737638616,0.7028705557164983
Tabor-Lola,before,2.0,5.0,"(2.0,5.0)",spectro_DTW,0.011810703940228871,0.19113264241654043,0.542632195893553
Tabor-Lola,before,2.0,6.0,"(2.0,6.0)",T_PC_pairwise,4.628155526004508,0.8182927130986467,0.6197324858373117
Tabor-Lola,before,2.0,6.0,"(2.0,6.0)",M_PC_pairwise,16.828586524014728,1.4324411990677477,0.8365804390925393
Tabor-Lola,before,2.0,6.0,"(2.0,6.0)",spectro_DTW,0.016071475096560883,1.390501337508594,0.8539013684671446
Tabor-Lola,before,3.0,1.0,"(3.0,1.0)",T_PC_pairwise,4.7277584637620045,0.9360489909408527,0.6487340310670273
Tabor-Lola,before,3.0,1.0,"(3.0,1.0)",M_PC_pairwise,15.996800319327052,1.1371915271910933,0.7611758718088057
Tabor-Lola,before,3.0,1.0,"(3.0,1.0)",spectro_DTW,0.01476178899694818,1.021836499469053,0.7582227005453197
Tabor-Lola,before,3.0,3.0,"(3.0,3.0)",T_PC_pairwise,4.953397640265444,1.202812503731175,0.7144337476646712
Tabor-Lola,before,3.0,3.0,"(3.0,3.0)",M_PC_pairwise,14.558285565211214,0.6265783350645132,0.6307690654034259
Tabor-Lola,before,3.0,3.0,"(3.0,3.0)",spectro_DTW,0.015931136115633415,1.3509971786956088,0.8436489524442385
