pair,analysis,context,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability,before_comparisons,after_comparisons,has_before_and_after
Odin-Nougatti,Call structure,Non-partner,0.19229931163146818,0.1891535417377069,-0.3185450436342571,0.6790036349639166,0.221375,0.778625,0.44275,90,72,TRUE
Odin-Nougatti,Call structure,Partner,0.044934184925465546,0.02714941119547959,-2.063360886567124,2.0049838874109294,0.4725,0.5275,0.945,36,0,FALSE
Odin-Nougatti,Sequence structure,Non-partner,-0.800513802999848,-0.7928287454533252,-1.2084426035466986,-0.3485539765432391,0.999625,3.75e-4,7.500000000000284e-4,72,63,TRUE
Odin-Nougatti,Sequence structure,Partner,0.22221256089250283,0.187260511538198,-1.966479345346634,2.082175009660893,0.366,0.634,0.732,36,0,FALSE
Tabor-Lola,Call structure,Non-partner,0.6351046076229145,0.6430440608452516,0.044256297623194205,1.272516960153629,0.01575,0.98425,0.0315,27,100,TRUE
Tabor-Lola,Call structure,Partner,0.6654925343612292,0.6751016609685966,-0.1874134741408343,1.5960036513026141,0.06675,0.93325,0.1335,6,6,TRUE
Tabor-Lola,Sequence structure,Non-partner,-1.1188240310747757,-1.1364927789385986,-1.7304774100776859,-0.626658401292191,1,0,0,8,100,TRUE
Tabor-Lola,Sequence structure,Partner,-0.18181488471733653,-0.1893556245181588,-1.0669566304439069,0.6774990426959311,0.666375,0.333625,0.6672499999999999,4,4,TRUE
Wuschel-Olympia,Call structure,Non-partner,0.006450729750568124,-0.013519099835664622,-0.7280004417730143,0.5999827192003142,0.491125,0.508875,0.98225,54,14,TRUE
Wuschel-Olympia,Call structure,Partner,-0.30643678167894933,-0.3112494205616732,-1.1746018846789719,0.53141137374738,0.76575,0.23425,0.4684999999999999,20,6,TRUE
Wuschel-Olympia,Sequence structure,Non-partner,-0.9412516078781197,-0.9452871461265658,-1.5257377038700435,-0.3822166395030291,0.998875,0.001125,0.0022500000000000853,18,8,TRUE
Wuschel-Olympia,Sequence structure,Partner,0.2713451472482355,0.27661582549561903,-0.6185045373267622,1.2118691706679274,0.274125,0.725875,0.54825,16,2,TRUE
