analysis,pair,stage,context,metric,N_rows,N_comparisons
Sequence structure,Tabor-Lola,before,Partner,transition_matrix,4,4
Sequence structure,Tabor-Lola,before,Partner,bigram,4,4
Sequence structure,Tabor-Lola,before,Partner,repeat_A_len,4,4
Sequence structure,Tabor-Lola,before,Partner,local_alignment,4,4
Sequence structure,Tabor-Lola,before,Non-partner,transition_matrix,8,8
Sequence structure,Tabor-Lola,before,Non-partner,bigram,8,8
Sequence structure,Tabor-Lola,before,Non-partner,repeat_A_len,8,8
Sequence structure,Tabor-Lola,before,Non-partner,local_alignment,8,8
Sequence structure,Tabor-Lola,after,Partner,transition_matrix,4,4
Sequence structure,Tabor-Lola,after,Partner,bigram,4,4
Sequence structure,Tabor-Lola,after,Partner,repeat_A_len,4,4
Sequence structure,Tabor-Lola,after,Partner,local_alignment,4,4
Sequence structure,Tabor-Lola,after,Non-partner,transition_matrix,100,100
Sequence structure,Tabor-Lola,after,Non-partner,bigram,100,100
Sequence structure,Tabor-Lola,after,Non-partner,repeat_A_len,100,100
Sequence structure,Tabor-Lola,after,Non-partner,local_alignment,100,100
Sequence structure,Odin-Nougatti,before,Partner,transition_matrix,36,36
Sequence structure,Odin-Nougatti,before,Partner,bigram,36,36
Sequence structure,Odin-Nougatti,before,Partner,repeat_A_len,36,36
Sequence structure,Odin-Nougatti,before,Partner,local_alignment,36,36
Sequence structure,Odin-Nougatti,before,Non-partner,transition_matrix,72,72
Sequence structure,Odin-Nougatti,before,Non-partner,bigram,72,72
Sequence structure,Odin-Nougatti,before,Non-partner,repeat_A_len,72,72
Sequence structure,Odin-Nougatti,before,Non-partner,local_alignment,72,72
Sequence structure,Odin-Nougatti,after,Partner,transition_matrix,0,0
Sequence structure,Odin-Nougatti,after,Partner,bigram,0,0
Sequence structure,Odin-Nougatti,after,Partner,repeat_A_len,0,0
Sequence structure,Odin-Nougatti,after,Partner,local_alignment,0,0
Sequence structure,Odin-Nougatti,after,Non-partner,transition_matrix,63,63
Sequence structure,Odin-Nougatti,after,Non-partner,bigram,63,63
Sequence structure,Odin-Nougatti,after,Non-partner,repeat_A_len,63,63
Sequence structure,Odin-Nougatti,after,Non-partner,local_alignment,63,63
Sequence structure,Wuschel-Olympia,before,Partner,transition_matrix,16,16
Sequence structure,Wuschel-Olympia,before,Partner,bigram,16,16
Sequence structure,Wuschel-Olympia,before,Partner,repeat_A_len,16,16
Sequence structure,Wuschel-Olympia,before,Partner,local_alignment,16,16
Sequence structure,Wuschel-Olympia,before,Non-partner,transition_matrix,18,18
Sequence structure,Wuschel-Olympia,before,Non-partner,bigram,18,18
