pair,analysis,metric,metric_label,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability,all_contexts_have_before_and_after,contains_model_extrapolation
Odin-Nougatti,Call structure,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),-0.02506607035011424,-0.05273664137505028,-2.1449696911941896,1.8665689898428632,0.518,0.482,0.964,FALSE,TRUE
Odin-Nougatti,Call structure,T_PC_pairwise,Spectro-temporal parameters (STP),0.16056241942080493,0.1380614824498844,-1.9002176918613072,2.0875994882112794,0.394,0.606,0.788,FALSE,TRUE
Odin-Nougatti,Call structure,chatter_cosine,Variational autoencoder (VAE),-0.4801079897438397,-0.5049222979717968,-2.53908014039291,1.4607893619664116,0.77325,0.22675,0.4535,FALSE,TRUE
Odin-Nougatti,Call structure,spectro_DTW,Dynamic time warping (DTW),-0.2093383805882203,-0.2284190652719466,-2.3006832301498013,1.7646714967472172,0.630375,0.369625,0.73925,FALSE,TRUE
Odin-Nougatti,Sequence structure,bigram,Bigram distribution,1.0921962000642567,1.059980065936742,-1.1457559116720686,2.9629819107611772,0.100125,0.899875,0.20025,FALSE,TRUE
Odin-Nougatti,Sequence structure,local_alignment,Local alignment,0.8173092256140054,0.7827999808911051,-1.4686047801773985,2.7203827243458494,0.14825,0.85175,0.2965,FALSE,TRUE
Odin-Nougatti,Sequence structure,repeat_A_len,Repeat distribution of phee,1.5520618504220887,1.5160534013106142,-0.742524795414898,3.4492159811491088,0.055625,0.944375,0.11125,FALSE,TRUE
Odin-Nougatti,Sequence structure,transition_matrix,Transition probabilities,0.6036369012777691,0.5615235798276313,-1.6279503266252455,2.4837317191963155,0.199375,0.800625,0.39875,FALSE,TRUE
Tabor-Lola,Call structure,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),0.13564042440847923,0.14132508929052204,-0.7759428388076611,1.1058911691920261,0.3835,0.6165,0.767,TRUE,FALSE
Tabor-Lola,Call structure,T_PC_pairwise,Spectro-temporal parameters (STP),0.32491441670434246,0.33212321311545673,-0.5748457513882519,1.2680849416054203,0.23725,0.76275,0.4745,TRUE,FALSE
Tabor-Lola,Call structure,chatter_cosine,Variational autoencoder (VAE),-0.3159599667141404,-0.3108605673062244,-1.2296184178535647,0.6658798043426307,0.74375,0.25625,0.5125,TRUE,FALSE
Tabor-Lola,Call structure,spectro_DTW,Dynamic time warping (DTW),-0.04546886539982983,-0.03435733460637434,-0.9539973365067068,0.9261556199704115,0.53575,0.46425,0.9285000000000001,TRUE,FALSE
Tabor-Lola,Sequence structure,bigram,Bigram distribution,1.0276639358373436,1.0270279633656585,-0.014388485248578605,2.0366963288733126,0.0265,0.9735,0.053,TRUE,FALSE
Tabor-Lola,Sequence structure,local_alignment,Local alignment,0.7615884141079476,0.7498478783200218,-0.2986018050733576,1.7566782693502168,0.078875,0.921125,0.15775,TRUE,FALSE
Tabor-Lola,Sequence structure,repeat_A_len,Repeat distribution of phee,1.4833026202696495,1.483101298739531,0.4431966681327179,2.498681359975881,0.003375,0.996625,0.00675,TRUE,FALSE
Tabor-Lola,Sequence structure,transition_matrix,Transition probabilities,0.5383696632020578,0.5285714772565479,-0.4573816945734255,1.470981181810979,0.137375,0.862625,0.27475,TRUE,FALSE
Wuschel-Olympia,Call structure,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),-0.17132018782899922,-0.18846283155883156,-1.2318618041738472,0.7698818671288927,0.642875,0.357125,0.71425,TRUE,FALSE
Wuschel-Olympia,Call structure,T_PC_pairwise,Spectro-temporal parameters (STP),0.018169573447314125,0.002335292266103129,-1.0200804914686576,0.9490391897992861,0.4855,0.5145,0.971,TRUE,FALSE
Wuschel-Olympia,Call structure,chatter_cosine,Variational autoencoder (VAE),-0.6318414027470458,-0.640648488155578,-1.6843360442355526,0.35479967529841505,0.90325,0.09675,0.1935,TRUE,FALSE
Wuschel-Olympia,Call structure,spectro_DTW,Dynamic time warping (DTW),-0.35165959658383916,-0.36414525545572796,-1.4151625754644557,0.6013708923564476,0.767375,0.232625,0.46524999999999994,TRUE,FALSE
Wuschel-Olympia,Sequence structure,bigram,Bigram distribution,1.293443061519568,1.3017937805674036,0.21143239970277308,2.4637968064078737,0.00875,0.99125,0.0175,TRUE,FALSE
Wuschel-Olympia,Sequence structure,local_alignment,Local alignment,1.0178662848158289,1.0246136955217668,-0.052770447359653756,2.1789438277606097,0.032625,0.967375,0.06525,TRUE,FALSE
Wuschel-Olympia,Sequence structure,repeat_A_len,Repeat distribution of phee,1.7357007570335896,1.757867115941276,0.6437427678459423,2.9358005605169204,3.75e-4,0.999625,7.5e-4,TRUE,FALSE
Wuschel-Olympia,Sequence structure,transition_matrix,Transition probabilities,0.7913498659939746,0.8033372944582929,-0.21574424702178846,1.9285771702985026,0.05975,0.94025,0.1195,TRUE,FALSE
