pair,analysis,context,metric,metric_label,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability,before_comparisons,after_comparisons,has_before_and_after
Odin-Nougatti,Call structure,Non-partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),0.18973216669805587,0.18755465368798258,-0.3279612917149136,0.6939026400667909,0.232375,0.767625,0.46475,90,72,TRUE
Odin-Nougatti,Call structure,Non-partner,T_PC_pairwise,Spectro-temporal parameters (STP),0.08517704750561206,0.0826860040474409,-0.4426662077816856,0.5709875340218734,0.368,0.632,0.736,90,72,TRUE
Odin-Nougatti,Call structure,Non-partner,chatter_cosine,Variational autoencoder (VAE),0.2527625045310244,0.25171923080934183,-0.26510345264326285,0.7570989110948076,0.15925,0.84075,0.3185,90,72,TRUE
Odin-Nougatti,Call structure,Non-partner,spectro_DTW,Dynamic time warping (DTW),0.2344629767515669,0.23465427840606226,-0.2830154407439207,0.7388406181617857,0.17725,0.82275,0.3545,90,72,TRUE
Odin-Nougatti,Call structure,Partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),0.15938161346172502,0.1348180123129324,-1.9440086667944798,2.1176987294816096,0.407375,0.592625,0.81475,36,0,FALSE
Odin-Nougatti,Call structure,Partner,T_PC_pairwise,Spectro-temporal parameters (STP),0.24117808299636612,0.22074748649732528,-1.8492601488978755,2.214092912147804,0.355625,0.644375,0.71125,36,0,FALSE
Odin-Nougatti,Call structure,Partner,chatter_cosine,Variational autoencoder (VAE),-0.23449634347183976,-0.25320306716245483,-2.353711858189669,1.7570097931050013,0.641875,0.358125,0.71625,36,0,FALSE
Odin-Nougatti,Call structure,Partner,spectro_DTW,Dynamic time warping (DTW),0.025928098677633696,0.0062352131341156395,-2.0981689531232313,2.0187133148549887,0.487375,0.512625,0.97475,36,0,FALSE
Odin-Nougatti,Sequence structure,Non-partner,bigram,Bigram distribution,-1.0560536669292202,-1.0493534580532267,-1.50063831192518,-0.5731398721551875,1,0,0,72,63,TRUE
Odin-Nougatti,Sequence structure,Non-partner,local_alignment,Local alignment,-1.1753403400891442,-1.1696740402832306,-1.6068027900245843,-0.6985764847276518,1,0,0,72,63,TRUE
Odin-Nougatti,Sequence structure,Non-partner,repeat_A_len,Repeat distribution of phee,0.0792139677408758,0.08527089300000945,-0.36056723896455595,0.5574957006232835,0.361875,0.638125,0.72375,72,63,TRUE
Odin-Nougatti,Sequence structure,Non-partner,transition_matrix,Transition probabilities,-1.0408502549003709,-1.0375583764768528,-1.471331117122562,-0.5734064714516214,1,0,0,72,63,TRUE
Odin-Nougatti,Sequence structure,Partner,bigram,Bigram distribution,0.044689444031088404,0.010626607883515314,-2.2345692637260908,1.9654201511216698,0.472125,0.527875,0.94425,36,0,FALSE
Odin-Nougatti,Sequence structure,Partner,local_alignment,Local alignment,-0.34714899708436964,-0.3868740593921254,-2.636142016726765,1.5879240548047133,0.687125,0.312875,0.62575,36,0,FALSE
Odin-Nougatti,Sequence structure,Partner,repeat_A_len,Repeat distribution of phee,1.635554907457244,1.6013242943106236,-0.6389582935408434,3.573270580855753,0.052375,0.947625,0.10475,36,0,FALSE
Odin-Nougatti,Sequence structure,Partner,transition_matrix,Transition probabilities,-0.4380967366455133,-0.4760347966492215,-2.6408300496247494,1.4215113786610447,0.7405,0.2595,0.5189999999999999,36,0,FALSE
Tabor-Lola,Call structure,Non-partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),0.6312248664709394,0.6414451727955273,0.03634568567413928,1.2795900278525316,0.01675,0.98325,0.0335,27,100,TRUE
Tabor-Lola,Call structure,Non-partner,T_PC_pairwise,Spectro-temporal parameters (STP),0.524369920976872,0.5365765231549856,-0.07149683688838827,1.179388070554859,0.042,0.958,0.084,27,100,TRUE
Tabor-Lola,Call structure,Non-partner,chatter_cosine,Variational autoencoder (VAE),0.6993723039978387,0.7056097499168865,0.10480316754758473,1.340910969709216,0.007875,0.992125,0.01575,27,100,TRUE
Tabor-Lola,Call structure,Non-partner,spectro_DTW,Dynamic time warping (DTW),0.6805109230440806,0.688544797513607,0.08503548096640544,1.3251338085912414,0.010625,0.989375,0.02125,27,100,TRUE
