analysis,context,metric,metric_label,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability,N_rows,N_comparisons,N_sessions,estimand_definition,direction
Call structure,Non-partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),0.2709914909494683,0.2712939461993737,-0.11862506018927393,0.6567916630712108,0.084,0.916,0.168,357,357,92,expected after - expected before,negative = convergence; positive = divergence
Call structure,Non-partner,T_PC_pairwise,Spectro-temporal parameters (STP),0.16765563780644782,0.166425296558832,-0.21081220961027378,0.5531720649221427,0.1985,0.8015,0.397,357,357,92,expected after - expected before,negative = convergence; positive = divergence
Call structure,Non-partner,chatter_cosine,Variational autoencoder (VAE),0.3355616965699341,0.3354585233207329,-0.03960551833601075,0.7179558169599318,0.04075,0.95925,0.0815,357,357,92,expected after - expected before,negative = convergence; positive = divergence
Call structure,Non-partner,spectro_DTW,Dynamic time warping (DTW),0.31731384958505293,0.31839357091745335,-0.0631065104374205,0.6979290309727876,0.052375,0.947625,0.10475,357,357,92,expected after - expected before,negative = convergence; positive = divergence
Call structure,Partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),0.24379509118658527,0.2380024849849204,-0.6793771058403029,1.1472161358550954,0.282375,0.717625,0.56475,74,74,36,expected after - expected before,negative = convergence; positive = divergence
Call structure,Partner,T_PC_pairwise,Spectro-temporal parameters (STP),0.3310972223451804,0.3239319591693134,-0.5659088100623169,1.1964677874729093,0.217125,0.782875,0.43425,74,74,36,expected after - expected before,negative = convergence; positive = divergence
Call structure,Partner,chatter_cosine,Variational autoencoder (VAE),-0.14382618074424564,-0.15001859449046684,-1.070044402075776,0.7616609024981759,0.636625,0.363375,0.72675,74,74,36,expected after - expected before,negative = convergence; positive = divergence
Call structure,Partner,spectro_DTW,Dynamic time warping (DTW),0.11039850679933554,0.1094196858061037,-0.810345061257272,1.0162578691945265,0.39575,0.60425,0.7915,74,74,36,expected after - expected before,negative = convergence; positive = divergence
Sequence structure,Non-partner,bigram,Bigram distribution,-1.2184190077759107,-1.2147276027727312,-1.583972482148015,-0.8193609746215155,1,0,0,269,269,74,expected after - expected before,negative = convergence; positive = divergence
Sequence structure,Non-partner,local_alignment,Local alignment,-1.3328239650903617,-1.3350481850027354,-1.717508049426472,-0.9449023325782802,1,0,0,269,269,74,expected after - expected before,negative = convergence; positive = divergence
Sequence structure,Non-partner,repeat_A_len,Repeat distribution of phee,-0.08242377048418033,-0.08010325171949521,-0.4608844684031678,0.31763648198553385,0.66125,0.33875,0.6775,269,269,74,expected after - expected before,negative = convergence; positive = divergence
Sequence structure,Non-partner,transition_matrix,Transition probabilities,-1.206051368210796,-1.2029325211963575,-1.5763706957999137,-0.8180410005382248,1,0,0,269,269,74,expected after - expected before,negative = convergence; positive = divergence
Sequence structure,Partner,bigram,Bigram distribution,-0.08616357075552926,-0.0851269994827966,-1.1271028155267082,0.9275912614208509,0.567,0.433,0.8660000000000001,62,62,31,expected after - expected before,negative = convergence; positive = divergence
Sequence structure,Partner,local_alignment,Local alignment,-0.47190639000947376,-0.4826276667584374,-1.5270969407236057,0.5330033483698439,0.832375,0.167625,0.33525000000000005,62,62,31,expected after - expected before,negative = convergence; positive = divergence
Sequence structure,Partner,repeat_A_len,Repeat distribution of phee,1.5150938653740593,1.5055706869443117,0.47042005511313595,2.533894050917058,0.005875,0.994125,0.01175,62,62,31,expected after - expected before,negative = convergence; positive = divergence
Sequence structure,Partner,transition_matrix,Transition probabilities,-0.5633617797697796,-0.5717884040155334,-1.5419272606765324,0.368165365237848,0.887875,0.112125,0.22425000000000006,62,62,31,expected after - expected before,negative = convergence; positive = divergence
