analysis,context,metric,metric_label,pairs_with_direct_support,estimate_median,estimate_mean,lower_95,upper_95,Pr_effect_lt_0,Pr_effect_gt_0,posterior_two_sided_tail_probability
Call structure,Non-partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),3,0.2709914909494683,0.2712939461993737,-0.11862506018927393,0.6567916630712108,0.084,0.916,0.168
Call structure,Non-partner,T_PC_pairwise,Spectro-temporal parameters (STP),3,0.16765563780644782,0.166425296558832,-0.21081220961027378,0.5531720649221427,0.1985,0.8015,0.397
Call structure,Non-partner,chatter_cosine,Variational autoencoder (VAE),3,0.3355616965699341,0.3354585233207329,-0.03960551833601075,0.7179558169599318,0.04075,0.95925,0.0815
Call structure,Non-partner,spectro_DTW,Dynamic time warping (DTW),3,0.31731384958505293,0.31839357091745335,-0.0631065104374205,0.6979290309727876,0.052375,0.947625,0.10475
Call structure,Partner,M_PC_pairwise,Mel-frequency cepstral coefficients (MFCC),2,0.2888630314032903,0.28959472132091446,-0.4310835341112414,1.0192833487411381,0.215125,0.784875,0.43025
Call structure,Partner,T_PC_pairwise,Spectro-temporal parameters (STP),2,0.3764438848360831,0.3755241955053074,-0.31599369676024563,1.097649467681297,0.144875,0.855125,0.28975
Call structure,Partner,chatter_cosine,Variational autoencoder (VAE),2,-0.10161126908466414,-0.09842635815447279,-0.8035270875008671,0.6418093683625231,0.613625,0.386375,0.77275
Call structure,Partner,spectro_DTW,Dynamic time warping (DTW),2,0.15788179481123743,0.16101192214209775,-0.561213283384888,0.8963022868562225,0.332,0.668,0.664
Sequence structure,Non-partner,bigram,Bigram distribution,3,-1.2184190077759107,-1.2147276027727312,-1.583972482148015,-0.8193609746215155,1,0,0
Sequence structure,Non-partner,local_alignment,Local alignment,3,-1.3328239650903617,-1.3350481850027354,-1.717508049426472,-0.9449023325782802,1,0,0
Sequence structure,Non-partner,repeat_A_len,Repeat distribution of phee,3,-0.08242377048418033,-0.08010325171949521,-0.4608844684031678,0.31763648198553385,0.66125,0.33875,0.6775
Sequence structure,Non-partner,transition_matrix,Transition probabilities,3,-1.206051368210796,-1.2029325211963575,-1.5763706957999137,-0.8180410005382248,1,0,0
Sequence structure,Partner,bigram,Bigram distribution,2,-0.13557109461850209,-0.13300380316595256,-0.9822697579578622,0.7257283443564989,0.619625,0.380375,0.76075
Sequence structure,Partner,local_alignment,Local alignment,2,-0.5298879416916155,-0.5305044704415933,-1.3988518236670815,0.33772727375247086,0.883125,0.116875,0.2337499999999999
Sequence structure,Partner,repeat_A_len,Repeat distribution of phee,2,1.4554516571272456,1.457693883261156,0.6086580295680795,2.309721198586968,6.25e-4,0.999375,0.00125
Sequence structure,Partner,transition_matrix,Transition probabilities,2,-0.617759789018993,-0.6196652076986894,-1.4273794589394335,0.18426670206416704,0.935625,0.064375,0.12874999999999992
