structure,contrast,context,metric,pair_scope,median,lower_95,upper_95,n_comparisons,source_version
sequence,stage,Non-partner,combined,all_pairs,-0.96,-1.30,-0.59,269,manuscript_2026-08-30
sequence,stage,Partner,combined,all_pairs,0.10,-0.82,0.97,62,manuscript_2026-08-30
sequence,stage,Non-partner,transition_probability,all_pairs,-1.21,-1.58,-0.82,,manuscript_2026-08-30
sequence,stage,Non-partner,bigram,all_pairs,-1.22,-1.58,-0.82,,manuscript_2026-08-30
sequence,stage,Non-partner,phee_repeat,all_pairs,-0.08,-0.46,0.32,,manuscript_2026-08-30
sequence,stage,Non-partner,local_alignment,all_pairs,-1.33,-1.72,-0.94,,manuscript_2026-08-30
sequence,stage,Partner,transition_probability,all_pairs,-0.56,-1.54,0.37,,manuscript_2026-08-30
sequence,stage,Partner,bigram,all_pairs,-0.09,-1.13,0.93,,manuscript_2026-08-30
sequence,stage,Partner,phee_repeat,all_pairs,1.52,0.47,2.53,,manuscript_2026-08-30
sequence,stage,Partner,local_alignment,all_pairs,-0.47,-1.53,0.53,,manuscript_2026-08-30
sequence,stage_by_context,Partner_minus_Non-partner,combined,all_pairs,1.06,0.10,1.98,331,manuscript_2026-08-30
sequence,stage_by_context,Partner_minus_Non-partner,combined,pairs_A_B,1.09,0.31,1.85,160,manuscript_2026-08-30
call,stage,Non-partner,combined,all_pairs,0.27,-0.10,0.64,357,manuscript_2026-08-30
call,stage,Partner,combined,all_pairs,0.14,-0.74,0.98,74,manuscript_2026-08-30
call,stage,Non-partner,stp,all_pairs,0.17,-0.21,0.55,,manuscript_2026-08-30
call,stage,Non-partner,mfcc,all_pairs,0.27,-0.12,0.66,,manuscript_2026-08-30
call,stage,Non-partner,dtw,all_pairs,0.32,-0.06,0.70,,manuscript_2026-08-30
call,stage,Non-partner,vae,all_pairs,0.34,-0.04,0.72,,manuscript_2026-08-30
call,stage,Partner,stp,all_pairs,0.33,-0.57,1.20,,manuscript_2026-08-30
call,stage,Partner,mfcc,all_pairs,0.24,-0.68,1.15,,manuscript_2026-08-30
call,stage,Partner,dtw,all_pairs,0.11,-0.81,1.02,,manuscript_2026-08-30
call,stage,Partner,vae,all_pairs,-0.14,-1.07,0.76,,manuscript_2026-08-30
call,stage_by_context,Partner_minus_Non-partner,combined,all_pairs,-0.13,-1.12,0.77,431,manuscript_2026-08-30
call,stage_by_context,Partner_minus_Non-partner,combined,pairs_A_B,-0.13,-0.89,0.62,233,manuscript_2026-08-30
call,stage_by_context,Partner_minus_Non-partner,stp,all_pairs,0.17,-0.82,1.10,,manuscript_2026-08-30
call,stage_by_context,Partner_minus_Non-partner,mfcc,all_pairs,-0.02,-1.02,0.93,,manuscript_2026-08-30
call,stage_by_context,Partner_minus_Non-partner,dtw,all_pairs,-0.21,-1.20,0.74,,manuscript_2026-08-30
call,stage_by_context,Partner_minus_Non-partner,vae,all_pairs,-0.48,-1.50,0.48,,manuscript_2026-08-30
